ID	volume	h	mp	axial ratio	EI
1	4	1	2912716.8	0.64	3000000000
2	4	1	2912716.8	0.64	3000000000
3	4	1	2912716.8	0.64	3000000000
4	4	1	2912716.8	0.64	3000000000
5	4	1	2912716.8	0.64	3000000000
6	4	1	2912716.8	0.64	3000000000
7	4	1	2912716.8	0.64	3000000000
8	4	1	2912716.8	0.64	3000000000
9	4	1	2912716.8	0.64	3000000000
10	4	1	2912716.8	0.64	3000000000
11	4	1	2912716.8	0.64	3000000000
12	4	1	2912716.8	0.64	3000000000
13	4	1	2912716.8	0.64	3000000000
14	4	1	2912716.8	0.64	3000000000
15	4	1	2912716.8	0.64	3000000000
16	4	1	2912716.8	0.64	3000000000
17	4	1	2912716.8	0.64	3000000000
18	4	1	2912716.8	0.64	3000000000
19	4	1	2912716.8	0.64	3000000000
20	4	1	2912716.8	0.64	3000000000
21	4	1	2912716.8	0.61	3000000000
22	4	1	2912716.8	0.61	3000000000
23	4	1	2912716.8	0.61	3000000000
24	4	1	2912716.8	0.61	3000000000
25	4	1	2912716.8	0.61	3000000000
26	4	1	2912716.8	0.61	3000000000
27	4	1	2912716.8	0.61	3000000000
28	4	1	2912716.8	0.61	3000000000
29	4	1	2912716.8	0.61	3000000000
30	4	1	2912716.8	0.61	3000000000
31	4	1	2912716.8	0.61	3000000000
32	4	1	2912716.8	0.61	3000000000
33	4	1	2912716.8	0.61	3000000000
34	4	1	2912716.8	0.61	3000000000
35	4	1	2912716.8	0.61	3000000000
36	4	1	2912716.8	0.61	3000000000
37	4	1	2912716.8	0.61	3000000000
38	4	1	2912716.8	0.61	3000000000
39	4	1	2912716.8	0.61	3000000000
40	4	1	2912716.8	0.61	3000000000
41	3.24	0.9	2317555.52	0.72	1968300000
42	3.24	0.9	2317555.52	0.72	1968300000
43	3.24	0.9	2317555.52	0.72	1968300000
44	3.24	0.9	2317555.52	0.72	1968300000
45	3.24	0.9	2317555.52	0.72	1968300000
46	3.24	0.9	2317555.52	0.72	1968300000
47	3.24	0.9	2317555.52	0.72	1968300000
48	3.24	0.9	2317555.52	0.72	1968300000
49	3.24	0.9	2317555.52	0.72	1968300000
50	3.24	0.9	2317555.52	0.72	1968300000
51	3.24	0.9	2317555.52	0.72	1968300000
52	3.24	0.9	2317555.52	0.72	1968300000
53	3.24	0.9	2317555.52	0.72	1968300000
54	3.24	0.9	2317555.52	0.72	1968300000
55	3.24	0.9	2317555.52	0.72	1968300000
56	3.24	0.9	2317555.52	0.72	1968300000
57	3.24	0.9	2317555.52	0.72	1968300000
58	3.24	0.9	2317555.52	0.72	1968300000
59	3.24	0.9	2317555.52	0.72	1968300000
60	3.24	0.9	2317555.52	0.72	1968300000
61	3.24	0.9	2317555.52	0.69	1968300000
62	3.24	0.9	2317555.52	0.69	1968300000
63	3.24	0.9	2317555.52	0.69	1968300000
64	3.24	0.9	2317555.52	0.69	1968300000
65	3.24	0.9	2317555.52	0.69	1968300000
66	3.24	0.9	2317555.52	0.69	1968300000
67	3.24	0.9	2317555.52	0.69	1968300000
68	3.24	0.9	2317555.52	0.69	1968300000
69	3.24	0.9	2317555.52	0.69	1968300000
70	3.24	0.9	2317555.52	0.69	1968300000
71	3.24	0.9	2317555.52	0.69	1968300000
72	3.24	0.9	2317555.52	0.69	1968300000
73	3.24	0.9	2317555.52	0.69	1968300000
74	3.24	0.9	2317555.52	0.69	1968300000
75	3.24	0.9	2317555.52	0.69	1968300000
76	3.24	0.9	2317555.52	0.69	1968300000
77	3.24	0.9	2317555.52	0.69	1968300000
78	3.24	0.9	2317555.52	0.69	1968300000
79	3.24	0.9	2317555.52	0.69	1968300000
80	3.24	0.9	2317555.52	0.69	1968300000
81	3.24	0.9	2317555.52	0.66	1968300000
82	3.24	0.9	2317555.52	0.66	1968300000
83	3.24	0.9	2317555.52	0.66	1968300000
84	3.24	0.9	2317555.52	0.66	1968300000
85	3.24	0.9	2317555.52	0.66	1968300000
86	3.24	0.9	2317555.52	0.66	1968300000
87	3.24	0.9	2317555.52	0.66	1968300000
88	3.24	0.9	2317555.52	0.66	1968300000
89	3.24	0.9	2317555.52	0.66	1968300000
90	3.24	0.9	2317555.52	0.66	1968300000
91	3.24	0.9	2317555.52	0.66	1968300000
92	3.24	0.9	2317555.52	0.66	1968300000
93	3.24	0.9	2317555.52	0.66	1968300000
94	3.24	0.9	2317555.52	0.66	1968300000
95	3.24	0.9	2317555.52	0.66	1968300000
96	3.24	0.9	2317555.52	0.66	1968300000
97	3.24	0.9	2317555.52	0.66	1968300000
98	3.24	0.9	2317555.52	0.66	1968300000
