Floor	DS1	DS2	DS3	DS4	DS5	DS6
1	0.0454011	0.00114911	0.000513461	0.000110721	2.69742e-005	9.59143e-005	
2	0.0304551	0.00695239	0.00619797	0.00175736	0.000887616	0.00104687	
3	0.0336729	0.00513234	0.00471866	0.00156781	0.000924514	0.00128108	
4	0.0327859	0.00497415	0.00519406	0.00165378	0.00105731	0.00163213	
5	0.0324629	0.00483255	0.00511658	0.00179369	0.00114531	0.00194625	
6	0.0322891	0.00481154	0.00510461	0.00184255	0.0012249	0.00202457	
7	0.0314493	0.00503843	0.00528644	0.00195532	0.00130374	0.00226411	
8	0.0265039	0.00442109	0.00478128	0.00168003	0.00118127	0.00197298	
9	0.0265219	0.00438372	0.00473476	0.00172112	0.00113223	0.00204684	
10	0.0267104	0.00450253	0.00458843	0.00166078	0.00110286	0.0019755	
11	0.026882	0.00442649	0.00454934	0.00163962	0.00108759	0.00195552	
12	0.026834	0.00423599	0.00468559	0.00165444	0.00119512	0.00193541	
13	0.0265333	0.00434637	0.00472507	0.00168449	0.00117311	0.00207822	
14	0.0260368	0.00436986	0.00469549	0.00184616	0.00129725	0.00229499	
15	0.025622	0.00433306	0.0047927	0.00189967	0.00136552	0.00252762	
16	0.0250582	0.00444651	0.0049476	0.00188274	0.0014286	0.00277693	
17	0.0211691	0.00346321	0.00394428	0.00150915	0.00116735	0.00253072	
18	0.0213878	0.00331402	0.00377438	0.00149185	0.00119513	0.00262062	
19	0.0216287	0.0031833	0.00374696	0.0014565	0.00114967	0.00261865	
20	0.0218933	0.00313404	0.00360235	0.00146619	0.00114449	0.00254344	
21	0.022079	0.00320444	0.00351247	0.00143443	0.00111455	0.00243894	
22	0.0234532	0.00301412	0.00307425	0.00115752	0.00097579	0.00210895	
23	0.0232714	0.00307737	0.00320759	0.00119667	0.000944127	0.00208664	
24	0.0232478	0.00328136	0.00322733	0.00119515	0.000897071	0.00193507	
25	0.0225531	0.00435625	0.00366183	0.00107395	0.000711693	0.00142699	
