¹¹¼þ±àºÅ	volume
1	1.092
2	1.092
3	1.092
4	1.092
5	1.092
6	1.092
7	1.092
8	1.092
9	1.092
10	1.092
11	1.092
12	1.092
13	1.092
14	1.092
15	1.092
16	1.092
17	1.092
18	1.092
19	1.092
20	1.092
21	1.092
22	1.092
23	1.092
24	1.092
25	1.092
26	1.092
27	1.092
28	1.092
29	1.092
30	1.092
31	1.092
32	1.092
33	1.092
34	1.092
35	1.092
36	1.092
37	1.092
38	1.092
39	1.092
40	1.092
41	1.092
42	1.092
43	1.092
44	1.092
45	1.092
46	1.092
47	1.092
48	1.092
49	1.092
50	1.092
51	1.092
52	1.092
53	1.092
54	1.092
55	1.092
56	1.092
57	1.092
58	1.092
59	1.092
60	1.092
61	1.092
62	1.092
63	1.092
64	1.092
65	1.092
66	1.092
67	1.092
68	1.092
69	1.092
70	1.092
71	1.092
72	1.092
73	1.092
74	1.092
75	1.092
76	1.092
77	1.092
78	1.092
79	1.092
80	1.092
81	1.092
82	1.092
83	1.092
84	1.092
85	0.936
86	0.936
87	0.936
88	0.936
89	0.936
90	0.936
91	0.936
92	0.936
93	0.936
94	0.936
95	0.936
96	0.936
97	0.936
98	0.936
99	0.936
100	0.936
101	0.936
102	0.936
103	0.936
104	0.936
105	0.936
106	0.936
107	0.936
108	0.936
109	0.936
110	0.936
111	0.936
112	0.936
113	0.936
114	0.936
115	0.936
116	0.936
117	0.936
118	0.936
119	0.936
120	0.936
121	0.936
122	0.936
123	0.936
124	0.936
125	0.936
126	0.936
127	0.936
128	0.936
129	0.936
130	0.936
131	0.936
132	0.936
133	0.936
134	0.936
135	0.936
136	0.936
137	0.936
138	0.936
139	0.936
140	0.936
141	0.936
142	0.936
143	0.936
144	0.936
145	0.936
146	0.936
147	0.936
148	0.936
149	0.936
150	0.936
151	0.936
152	0.936
153	0.936
154	0.936
155	0.936
156	0.936
157	0.936
158	0.936
159	0.936
160	0.936
161	0.936
162	0.936
163	0.936
164	0.936
165	0.936
166	0.936
167	0.936
168	0.936
169	0.936
170	0.936
171	0.936
172	0.936
173	0.936
174	0.936
175	0.936
176	0.936
177	0.936
178	0.936
179	0.936
180	0.936
181	0.936
182	0.936
183	0.936
184	0.936
185	0.936
186	0.936
187	0.936
188	0.936
189	0.936
190	0.936
191	0.936
192	0.936
193	0.78
194	0.78
195	0.78
196	0.78
197	0.78
198	0.78
199	0.78
200	0.78
201	0.78
202	0.78
203	0.78
204	0.78
205	0.78
206	0.78
207	0.78
208	0.78
209	0.78
210	0.78
211	0.78
212	0.78
213	0.78
214	0.78
215	0.78
216	0.78
217	0.78
218	0.78
219	0.78
220	0.78
221	0.78
222	0.78
223	0.78
224	0.78
225	0.78
226	0.78
227	0.78
228	0.78
229	0.78
230	0.78
231	0.78
232	0.78
233	0.78
234	0.78
235	0.78
236	0.78
237	0.78
238	0.78
239	0.78
240	0.78
241	0.78
242	0.78
243	0.78
244	0.78
245	0.78
246	0.78
247	0.78
248	0.78
249	0.78
250	0.78
251	0.78
252	0.78
253	0.78
254	0.78
255	0.78
256	0.78
257	0.78
258	0.78
259	0.78
260	0.78
261	0.78
262	0.78
263	0.78
264	0.78
265	0.78
266	0.78
267	0.78
268	0.78
269	0.78
270	0.78
271	0.78
272	0.78
273	0.78
274	0.78
275	0.78
276	0.78
277	0.78
278	0.78
279	0.78
280	0.78
281	0.78
282	0.78
283	0.78
284	0.78
285	0.78
286	0.78
287	0.78
288	0.78
289	0.78
290	0.78
291	0.78
292	0.78
293	0.78
294	0.78
295	0.78
296	0.78
297	0.78
298	0.78
299	0.78
300	0.78
