¹¹¼þ±àºÅ	volume
1	0.637
2	0.637
3	0.64925
4	0.64925
5	0.6615
6	0.6615
7	0.637
8	0.637
9	0.637
10	0.637
11	0.64925
12	0.64925
13	0.6615
14	0.6615
15	0.637
16	0.637
17	0.098
18	0.098
19	0.098
20	0.098
21	0.098
22	0.098
23	0.098
24	0.098
25	0.74725
26	0.74725
27	0.508375
28	0.508375
29	0.508375
30	0.508375
31	0.74725
32	0.74725
33	0.74725
34	0.74725
35	0.508375
36	0.508375
37	0.508375
38	0.508375
39	0.74725
40	0.74725
41	0.098
42	0.098
43	0.098
44	0.098
45	0.098
46	0.098
47	0.098
48	0.098
49	0.637
50	0.637
51	0.64925
52	0.64925
53	0.6615
54	0.6615
55	0.637
56	0.637
57	0.637
58	0.637
59	0.64925
60	0.64925
61	0.6615
62	0.6615
63	0.637
64	0.637
65	0.098
66	0.098
67	0.098
68	0.098
69	0.098
70	0.098
71	0.098
72	0.098
73	0.74725
74	0.74725
75	0.508375
76	0.508375
77	0.508375
78	0.508375
79	0.74725
80	0.74725
81	0.74725
82	0.74725
83	0.508375
84	0.508375
85	0.508375
86	0.508375
87	0.74725
88	0.74725
89	0.098
90	0.098
91	0.098
92	0.098
93	0.098
94	0.098
95	0.098
96	0.098
97	0.637
98	0.637
99	0.64925
100	0.64925
101	0.6615
102	0.6615
103	0.637
104	0.637
105	0.637
106	0.637
107	0.64925
108	0.64925
109	0.6615
110	0.6615
111	0.637
112	0.637
113	0.098
114	0.098
115	0.098
116	0.098
117	0.098
118	0.098
119	0.098
120	0.098
121	0.74725
122	0.74725
123	0.508375
124	0.508375
125	0.508375
126	0.508375
127	0.74725
128	0.74725
129	0.74725
130	0.74725
131	0.508375
132	0.508375
133	0.508375
134	0.508375
135	0.74725
136	0.74725
137	0.098
138	0.098
139	0.098
140	0.098
141	0.098
142	0.098
143	0.098
144	0.098
145	0.637
146	0.637
147	0.64925
148	0.64925
149	0.6615
150	0.6615
151	0.637
152	0.637
153	0.637
154	0.637
155	0.64925
156	0.64925
157	0.6615
158	0.6615
159	0.637
160	0.637
161	0.098
162	0.098
163	0.098
164	0.098
165	0.098
166	0.098
167	0.098
168	0.098
169	0.74725
170	0.74725
171	0.508375
172	0.508375
173	0.508375
174	0.508375
175	0.74725
176	0.74725
177	0.74725
178	0.74725
179	0.508375
180	0.508375
181	0.508375
182	0.508375
183	0.74725
184	0.74725
185	0.098
186	0.098
187	0.098
188	0.098
189	0.098
190	0.098
191	0.098
192	0.098
193	0.637
194	0.637
195	0.64925
196	0.64925
197	0.6615
198	0.6615
199	0.637
200	0.637
201	0.637
202	0.637
203	0.64925
204	0.64925
205	0.6615
206	0.6615
207	0.637
208	0.637
209	0.098
210	0.098
211	0.098
212	0.098
213	0.098
214	0.098
215	0.098
216	0.098
217	0.74725
218	0.74725
219	0.508375
220	0.508375
221	0.508375
222	0.508375
223	0.74725
224	0.74725
225	0.74725
226	0.74725
227	0.508375
228	0.508375
229	0.508375
230	0.508375
231	0.74725
232	0.74725
233	0.098
234	0.098
235	0.098
236	0.098
237	0.098
238	0.098
239	0.098
240	0.098
241	0.637
242	0.637
243	0.64925
244	0.64925
245	0.6615
246	0.6615
247	0.637
248	0.637
249	0.637
250	0.637
251	0.64925
252	0.64925
253	0.6615
254	0.6615
255	0.637
256	0.637
257	0.098
258	0.098
259	0.098
260	0.098
261	0.098
262	0.098
263	0.098
264	0.098
265	0.74725
266	0.74725
267	0.508375
268	0.508375
269	0.508375
270	0.508375
271	0.74725
272	0.74725
273	0.74725
274	0.74725
275	0.508375
276	0.508375
277	0.508375
278	0.508375
279	0.74725
280	0.74725
281	0.098
282	0.098
283	0.098
284	0.098
285	0.098
286	0.098
287	0.098
288	0.098
289	0.637
290	0.637
291	0.64925
292	0.64925
293	0.6615
294	0.6615
295	0.637
296	0.637
297	0.637
298	0.637
299	0.64925
300	0.64925
301	0.6615
302	0.6615
303	0.637
304	0.637
305	0.098
306	0.098
307	0.098
308	0.098
309	0.098
310	0.098
311	0.098
312	0.098
313	0.74725
314	0.74725
315	0.508375
316	0.508375
317	0.508375
318	0.508375
319	0.74725
320	0.74725
321	0.74725
322	0.74725
323	0.508375
324	0.508375
325	0.508375
326	0.508375
327	0.74725
328	0.74725
329	0.098
330	0.098
331	0.098
332	0.098
333	0.098
334	0.098
335	0.098
336	0.098
337	0.546
338	0.546
339	0.5565
340	0.5565
341	0.567
342	0.567
343	0.546
344	0.546
345	0.546
346	0.546
347	0.5565
348	0.5565
349	0.567
350	0.567
351	0.546
352	0.546
353	0.084
354	0.084
355	0.084
356	0.084
357	0.084
358	0.084
359	0.084
360	0.084
361	0.6405
362	0.6405
363	0.43575
364	0.43575
365	0.43575
366	0.43575
367	0.6405
368	0.6405
369	0.6405
370	0.6405
371	0.43575
372	0.43575
373	0.43575
374	0.43575
375	0.6405
376	0.6405
377	0.084
378	0.084
379	0.084
380	0.084
381	0.084
382	0.084
383	0.084
384	0.084
385	0.546
386	0.546
387	0.5565
388	0.5565
389	0.567
390	0.567
391	0.546
392	0.546
393	0.546
394	0.546
395	0.5565
396	0.5565
397	0.567
398	0.567
399	0.546
400	0.546
401	0.084
402	0.084
403	0.084
404	0.084
405	0.084
406	0.084
407	0.084
408	0.084
409	0.6405
410	0.6405
411	0.43575
