ID	volume	 mp(left)	mp(ÁºÖÐ)	mp(right)	h	EI
1	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
2	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
3	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
4	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
5	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
6	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
7	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
8	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
9	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
10	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
11	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
12	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
13	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
14	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
15	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
16	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
17	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
18	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
19	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
20	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
21	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
22	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
23	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
24	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
25	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
26	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
27	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
28	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
29	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
30	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
31	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
32	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
33	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
34	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
35	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
36	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
37	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
38	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
39	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
40	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
41	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
42	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
43	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
44	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
45	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
46	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
47	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
48	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
49	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
50	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
51	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
52	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
53	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
54	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
55	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
56	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
57	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
58	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
59	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
60	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
61	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
62	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
63	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
