Floor	DS1	DS2	DS3	DS4	DS5	DS6
1	0.0249084	0.0377868	0.00329599	0.00141208	0.000322471	0.000162933	
2	0.0217787	0.0392091	0.0043924	0.00178208	0.000549898	0.000176511	
3	0.0473022	0.0075336	0.000129226	2.47454e-005	0	0	
4	0.0490152	0.00590591	6.59878e-005	2.74949e-006	0	0	
5	0.0504669	0.00448717	3.29939e-005	2.74949e-006	0	0	
6	0.0520919	0.00288971	8.24847e-006	0	0	0	
7	0.0466864	0.00817974	0.000101731	2.19959e-005	0	0	
8	0.0381284	0.00517909	0.000117312	1.95519e-005	4.34487e-006	0	
9	0.0383174	0.00504223	7.38629e-005	1.52071e-005	0	0	
10	0.0384369	0.00494229	6.30007e-005	6.51731e-006	0	0	
11	0.0380307	0.00532682	8.03802e-005	1.08622e-005	0	0	
12	0.0383848	0.00497488	8.25526e-005	2.17244e-006	4.34487e-006	0	
13	0.0306748	0.0120223	0.000564834	0.000154243	3.04141e-005	2.17244e-006	
14	0.0236151	0.00875547	0.00064535	0.000206246	3.99185e-005	3.32654e-006	
15	0.023206	0.00890849	0.000761779	0.000287746	7.3184e-005	2.82756e-005	
16	0.0174111	0.0128039	0.00178635	0.000861575	0.000266124	0.000136388	
17	0.0172698	0.0127939	0.00183625	0.000916463	0.000286083	0.000163001	
18	0.0188102	0.0033556	0.00134786	0.000592668	0.000190631	0.000142974	
19	0.0190876	0.0032334	0.00115845	0.000610998	0.000216293	0.000133198	
20	0.0194884	0.00294745	0.00108758	0.000584114	0.000211405	0.000120978	
21	0.0207507	0.00226314	0.000778411	0.000421589	0.000142974	8.30957e-005	
22	0.0222061	0.00107169	0.000651324	0.000356823	9.53157e-005	5.86558e-005	
23	0.0222904	0.00106436	0.00061833	0.000304277	0.000106314	5.62118e-005	
24	0.0230041	0.000718534	0.000369043	0.000230957	7.33198e-005	4.39919e-005	
25	0.0164163	0.00375275	0.00249898	0.00124155	0.000353157	0.000177189	
