Floor	DS1	DS2	DS3	DS4	DS5	DS6
1	0.0158528	0.00694778	0	0.00222123	0.00156359	0.000257242	
2	0.010245	0.0080103	0	0.00417851	0.0034627	0.000946204	
3	0.00861202	0.00807964	0	0.0047176	0.00418969	0.00124371	
4	0.0070772	0.00746098	0	0.0048729	0.00426735	0.00124691	
5	0.00637705	0.00693691	0	0.00461694	0.00384234	0.00123476	
6	0.00642882	0.00682762	0	0.00442521	0.00403982	0.00128653	
7	0.0064269	0.0069024	0	0.00459968	0.003827	0.00125202	
8	0.0067145	0.00686022	0	0.00441178	0.00389986	0.00112164	
9	0.00575679	0.00581911	0	0.00350552	0.00315401	0.000937896	
10	0.00598847	0.00594853	0	0.00349274	0.00289358	0.000850018	
11	0.00628406	0.00595492	0	0.00339688	0.00267628	0.000861202	
12	0.00621376	0.00593415	0	0.00338889	0.00281688	0.00081966	
13	0.0118474	0.0108145	0	0.0071079	0.00640514	0.00206109	
14	0.0166501	0.0164018	0	0.010839	0.0101849	0.00322306	
15	0.0156664	0.0157667	0	0.0112879	0.0104379	0.00413984	
16	0.0138615	0.0140191	0	0.0110921	0.0121617	0.00616439	
17	0.0129591	0.0136705	0	0.0113547	0.012219	0.0070955	
18	0.0128779	0.0142674	0	0.0115887	0.0124147	0.00615007	
19	0.0135225	0.0146064	0	0.0116173	0.0121617	0.00539086	
20	0.0151317	0.014573	0	0.0112401	0.0110252	0.00532879	
21	0.0170321	0.0155805	0	0.0103806	0.0101896	0.00411596	
22	0.0198683	0.0152271	0	0.00938745	0.00869031	0.00412551	
23	0.0220839	0.0147162	0	0.00820327	0.00779263	0.00450273	
24	0.0263431	0.0136896	0	0.00677558	0.00626944	0.00422101	
25	0.0241037	0.0150266	0	0.00743929	0.00755389	0.00317531	
