配构件编号：	1
Floor	DS1	DS2	DS3	DS4
1	0.993	0.007	0	0	
2	0.991	0.009	0	0	
3	0.978	0.022	0	0	
4	0.96	0.04	0	0	
5	0.972	0.028	0	0	
6	0.962	0.038	0	0	
7	0.946	0.053	0.001	0	
8	0.937	0.062	0.001	0	
9	0.915	0.082	0.002	0.001	
10	0.921	0.075	0.004	0	
11	0.937	0.062	0.001	0	
12	0.928	0.07	0.002	0	
13	0.931	0.066	0.001	0.002	
14	0.937	0.062	0	0.001	
15	0.949	0.048	0.003	0	
16	0.947	0.052	0.001	0	
17	0.961	0.039	0	0	
18	0.969	0.031	0	0	
19	0.981	0.019	0	0	
20	0.976	0.024	0	0	
21	0.977	0.023	0	0	
22	0.978	0.022	0	0	
23	0.974	0.026	0	0	
24	0.96	0.04	0	0	
25	0.936	0.064	0	0	


配构件编号：	2
Floor	DS1	DS2	DS3	DS4
1	0.872	0.128	0	0	
2	0.887	0.113	0	0	
3	0.907	0.093	0	0	
4	0.866	0.134	0	0	
5	0.847	0.153	0	0	
6	0.866	0.134	0	0	
7	0.838	0.162	0	0	
8	0.826	0.174	0	0	
9	0.811	0.189	0	0	
10	0.804	0.196	0	0	
11	0.808	0.192	0	0	
12	0.835	0.165	0	0	
13	0.806	0.194	0	0	
14	0.843	0.157	0	0	
15	0.851	0.149	0	0	
16	0.86	0.14	0	0	
17	0.888	0.112	0	0	
18	0.879	0.121	0	0	
19	0.907	0.093	0	0	
20	0.919	0.081	0	0	
21	0.913	0.087	0	0	
22	0.907	0.093	0	0	
23	0.878	0.122	0	0	
24	0.84	0.16	0	0	
25	0.83	0.17	0	0	


配构件编号：	3
Floor	DS1	DS2	DS3	DS4
1	0.495	0.505	0	0	
2	0.558	0.442	0	0	
3	0.607	0.393	0	0	
4	0.584	0.416	0	0	
5	0.592	0.408	0	0	
6	0.548	0.452	0	0	
7	0.541	0.459	0	0	
8	0.555	0.445	0	0	
9	0.551	0.449	0	0	
10	0.545	0.455	0	0	
11	0.53	0.47	0	0	
12	0.56	0.44	0	0	
13	0.577	0.423	0	0	
14	0.566	0.434	0	0	
15	0.599	0.401	0	0	
16	0.613	0.387	0	0	
17	0.667	0.333	0	0	
18	0.683	0.317	0	0	
19	0.729	0.271	0	0	
20	0.729	0.271	0	0	
21	0.71	0.29	0	0	
22	0.688	0.312	0	0	
23	0.639	0.361	0	0	
24	0.56	0.44	0	0	
25	0.485	0.515	0	0	


配构件编号：	4
Floor	DS1	DS2	DS3	DS4
1	0.998	0.002	0	0	
2	1	0	0	0	
3	0.999	0.001	0	0	
4	0.998	0.002	0	0	
5	1	0	0	0	
6	0.998	0.002	0	0	
7	0.996	0.004	0	0	
8	0.999	0.001	0	0	
9	0.998	0.002	0	0	
10	0.998	0.002	0	0	
11	0.996	0.004	0	0	
12	0.998	0.002	0	0	
13	0.997	0.003	0	0	
14	0.996	0.004	0	0	
15	0.995	0.005	0	0	
16	0.993	0.007	0	0	
17	0.999	0.001	0	0	
18	1	0	0	0	
19	1	0	0	0	
20	1	0	0	0	
21	0.998	0.002	0	0	
22	1	0	0	0	
23	1	0	0	0	
