ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.397	0.546	0.035	0.015	0.007	0	
2	0.38	0.545	0.05	0.019	0.003	0.003	
3	0.387	0.554	0.043	0.013	0.002	0.001	
4	0.387	0.555	0.04	0.015	0.003	0	
5	0.358	0.571	0.053	0.014	0.003	0.001	
6	0.371	0.56	0.038	0.022	0.005	0.004	
7	0.371	0.555	0.05	0.02	0.003	0.001	
8	0.363	0.57	0.04	0.021	0.005	0.001	
9	0.378	0.552	0.048	0.02	0.001	0.001	
10	0.397	0.546	0.041	0.011	0.005	0	
11	0.372	0.566	0.041	0.018	0.003	0	
12	0.367	0.559	0.049	0.014	0.008	0.003	
13	0.377	0.545	0.046	0.028	0.002	0.002	
14	0.369	0.562	0.043	0.021	0.004	0.001	
15	0.404	0.537	0.041	0.014	0.004	0	
16	0.381	0.543	0.053	0.016	0.004	0.003	
17	0.382	0.543	0.05	0.019	0.003	0.003	
18	0.146	0.616	0.123	0.072	0.022	0.021	
19	0.405	0.532	0.046	0.012	0.003	0.002	
20	0.346	0.575	0.041	0.032	0.005	0.001	
21	0.351	0.566	0.049	0.026	0.007	0.001	
22	0.305	0.607	0.063	0.021	0.003	0.001	
23	0.346	0.565	0.052	0.028	0.006	0.003	
24	0.354	0.56	0.052	0.022	0.011	0.001	
25	0.319	0.585	0.066	0.023	0.004	0.003	
26	0.318	0.551	0.081	0.033	0.015	0.002	
27	0.353	0.56	0.06	0.018	0.008	0.001	
28	0.32	0.579	0.068	0.023	0.004	0.006	
29	0.315	0.592	0.058	0.026	0.008	0.001	
30	0.316	0.59	0.058	0.026	0.007	0.003	
31	0.333	0.566	0.064	0.025	0.009	0.003	
32	0.331	0.572	0.061	0.028	0.006	0.002	
33	0.341	0.582	0.043	0.03	0.004	0	
34	0.323	0.587	0.07	0.015	0.004	0.001	
35	0.319	0.581	0.066	0.026	0.006	0.002	
36	0.303	0.596	0.073	0.019	0.007	0.002	
37	0.335	0.56	0.078	0.021	0.003	0.003	
38	0.159	0.628	0.112	0.054	0.035	0.012	
39	0.324	0.567	0.068	0.029	0.008	0.004	
40	0.351	0.557	0.052	0.032	0.007	0.001	
41	0.88	0.118	0.002	0	0	0	
42	0.835	0.161	0.003	0.001	0	0	
43	0.878	0.121	0	0.001	0	0	
44	0.871	0.126	0.003	0	0	0	
45	0.853	0.147	0	0	0	0	
46	0.789	0.2	0.007	0.004	0	0	
47	0.798	0.195	0.005	0.002	0	0	
48	0.855	0.143	0.001	0.001	0	0	
49	0.864	0.131	0.005	0	0	0	
50	0.868	0.132	0	0	0	0	
51	0.835	0.16	0.005	0	0	0	
52	0.871	0.128	0.001	0	0	0	
53	0.865	0.135	0	0	0	0	
54	0.877	0.122	0.001	0	0	0	
55	0.898	0.099	0.003	0	0	0	
56	0.84	0.159	0.001	0	0	0	
57	0.86	0.136	0.004	0	0	0	
58	0.897	0.1	0.003	0	0	0	
59	0.889	0.109	0.002	0	0	0	
60	0.881	0.118	0.001	0	0	0	
61	0.916	0.082	0.002	0	0	0	
62	0.843	0.156	0.001	0	0	0	
63	0.904	0.095	0.001	0	0	0	
64	0.898	0.101	0.001	0	0	0	
65	0.893	0.107	0	0	0	0	
66	0.822	0.174	0.004	0	0	0	
67	0.838	0.157	0.004	0.001	0	0	
68	0.89	0.11	0	0	0	0	
69	0.899	0.099	0.002	0	0	0	
70	0.9	0.097	0.003	0	0	0	
71	0.857	0.141	0.002	0	0	0	
72	0.915	0.085	0	0	0	0	
73	0.915	0.085	0	0	0	0	
74	0.903	0.097	0	0	0	0	
75	0.915	0.084	0.001	0	0	0	
76	0.884	0.115	0.001	0	0	0	
77	0.885	0.115	0	0	0	0	
78	0.912	0.086	0.002	0	0	0	
79	0.913	0.087	0	0	0	0	
80	0.925	0.075	0	0	0	0	
81	0.942	0.058	0	0	0	0	
82	0.899	0.1	0.001	0	0	0	
83	0.934	0.065	0.001	0	0	0	
84	0.912	0.088	0	0	0	0	
85	0.922	0.077	0.001	0	0	0	
86	0.856	0.139	0.004	0.001	0	0	
87	0.852	0.146	0.002	0	0	0	
88	0.918	0.082	0	0	0	0	
