ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.573	0.278	0	0.088	0.052	0.009	
2	0.736	0.191	0	0.047	0.025	0.001	
3	0.476	0.291	0	0.11	0.079	0.044	
4	0.677	0.198	0	0.068	0.049	0.008	
5	0.425	0.337	0	0.123	0.107	0.008	
6	0.517	0.299	0	0.115	0.065	0.004	
7	0.608	0.267	0	0.077	0.044	0.004	
8	0.679	0.228	0	0.053	0.037	0.003	
9	0.501	0.323	0	0.097	0.072	0.007	
10	0.479	0.308	0	0.116	0.082	0.015	
11	0.676	0.237	0	0.05	0.034	0.003	
12	0.74	0.149	0	0.049	0.053	0.009	
13	0.233	0.294	0	0.215	0.203	0.055	
14	0.429	0.28	0	0.126	0.115	0.05	
15	0.323	0.308	0	0.188	0.145	0.036	
16	0.307	0.376	0	0.18	0.117	0.02	
17	0.422	0.252	0	0.138	0.142	0.046	
18	0.201	0.347	0	0.218	0.19	0.044	
19	0.73	0.212	0	0.042	0.016	0	
20	0.378	0.339	0	0.158	0.103	0.022	
21	0.268	0.315	0	0.208	0.16	0.049	
22	0.265	0.294	0	0.197	0.179	0.065	
23	0.378	0.365	0	0.123	0.111	0.023	
24	0.646	0.199	0	0.075	0.067	0.013	
25	0.146	0.317	0	0.257	0.218	0.062	
26	0.321	0.285	0	0.163	0.16	0.071	
27	0.29	0.317	0	0.178	0.172	0.043	
28	0.271	0.375	0	0.2	0.136	0.018	
29	0.305	0.282	0	0.162	0.176	0.075	
30	0.176	0.314	0	0.223	0.222	0.065	
31	0.701	0.221	0	0.05	0.027	0.001	
32	0.299	0.346	0	0.181	0.142	0.032	
33	0.216	0.296	0	0.211	0.208	0.069	
34	0.205	0.282	0	0.229	0.2	0.084	
35	0.277	0.37	0	0.175	0.147	0.031	
36	0.643	0.207	0	0.08	0.065	0.005	
37	0.132	0.309	0	0.265	0.23	0.064	
38	0.238	0.308	0	0.206	0.174	0.074	
39	0.284	0.319	0	0.212	0.155	0.03	
40	0.251	0.361	0	0.208	0.165	0.015	
41	0.261	0.256	0	0.195	0.2	0.088	
42	0.137	0.327	0	0.231	0.232	0.073	
