ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.861	0.083	0.041	0.011	0.002	0.002	
2	0.907	0.067	0.024	0.002	0	0	
3	0.936	0.043	0.021	0	0	0	
4	0.985	0.01	0.004	0.001	0	0	
5	1	0	0	0	0	0	
6	0.981	0.019	0	0	0	0	
7	0.975	0.021	0.004	0	0	0	
8	0.987	0.011	0.001	0.001	0	0	
9	0.922	0.033	0.02	0.006	0.003	0.016	
10	0.827	0.058	0.063	0.025	0.007	0.02	
11	1	0	0	0	0	0	
12	0.889	0.071	0.031	0.009	0	0	
13	0.998	0.002	0	0	0	0	
14	0.957	0.027	0.015	0.001	0	0	
15	0.982	0.014	0.004	0	0	0	
16	0.983	0.016	0.001	0	0	0	
17	0.994	0.004	0.001	0.001	0	0	
18	0.982	0.017	0.001	0	0	0	
19	0.986	0.013	0.001	0	0	0	
20	0.981	0.017	0.002	0	0	0	
21	0.998	0.001	0.001	0	0	0	
22	0.997	0.002	0.001	0	0	0	
23	0.926	0.05	0.022	0.001	0.001	0	
24	0.909	0.062	0.025	0.003	0	0.001	
25	0.933	0.023	0.019	0.01	0.003	0.012	
26	0.929	0.029	0.019	0.006	0.003	0.014	
27	0.953	0.035	0.012	0	0	0	
28	0.939	0.047	0.014	0	0	0	
29	0.999	0.001	0	0	0	0	
30	1	0	0	0	0	0	
31	0.991	0.009	0	0	0	0	
32	0.933	0.048	0.016	0.003	0	0	
33	0.982	0.015	0.003	0	0	0	
34	0.926	0.054	0.02	0	0	0	
35	1	0	0	0	0	0	
36	0.99	0.01	0	0	0	0	
37	1	0	0	0	0	0	
38	1	0	0	0	0	0	
39	0.983	0.012	0.005	0	0	0	
40	0.977	0.016	0.007	0	0	0	
41	0.987	0.011	0.002	0	0	0	
42	0.999	0.001	0	0	0	0	
43	0.987	0.009	0.004	0	0	0	
44	0.989	0.008	0.003	0	0	0	
45	0.995	0.004	0.001	0	0	0	
46	0.999	0	0.001	0	0	0	
47	0.928	0.03	0.028	0.005	0.002	0.007	
48	0.923	0.045	0.026	0.004	0.001	0.001	
49	0.672	0.151	0.122	0.032	0.011	0.012	
50	0.71	0.153	0.085	0.032	0.007	0.013	
51	0.517	0.187	0.195	0.055	0.022	0.024	
52	0.376	0.195	0.236	0.086	0.049	0.058	
