¹¹¼þ±àºÅ	volume	 mp(left)	mp(ÁºÖÐ)	mp(right)	h	EI
1	0.81	274264.32	295384.32	266344.32	0.5	9.38E+07
2	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
3	0.81	255784.32	232024.32	247864.32	0.5	9.38E+07
4	0.81	253144.32	255784.32	245224.32	0.5	9.38E+07
5	0.81	245224.32	253144.32	232024.32	0.5	9.38E+07
6	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
7	0.81	274264.32	295384.32	266344.32	0.5	9.38E+07
8	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
9	0.81	255784.32	232024.32	247864.32	0.5	9.38E+07
10	0.81	253144.32	255784.32	245224.32	0.5	9.38E+07
11	0.81	245224.32	253144.32	232024.32	0.5	9.38E+07
12	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
13	0.81	274264.32	295384.32	266344.32	0.5	9.38E+07
14	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
15	0.81	255784.32	232024.32	247864.32	0.5	9.38E+07
16	0.81	253144.32	255784.32	245224.32	0.5	9.38E+07
17	0.81	245224.32	253144.32	232024.32	0.5	9.38E+07
18	0.81	232024.32	221464.32	232024.32	0.5	9.38E+07
19	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
20	0.81	261064.32	282184.32	261064.32	0.5	9.38E+07
21	0.81	250504.32	253144.32	247864.32	0.5	9.38E+07
22	0.81	234664.32	247864.32	232024.32	0.5	9.38E+07
23	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
24	0.81	232024.32	221464.32	232024.32	0.5	9.38E+07
25	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
26	0.81	261064.32	282184.32	261064.32	0.5	9.38E+07
27	0.81	250504.32	253144.32	247864.32	0.5	9.38E+07
28	0.81	234664.32	247864.32	232024.32	0.5	9.38E+07
29	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
30	0.81	232024.32	221464.32	232024.32	0.5	9.38E+07
31	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
32	0.81	261064.32	282184.32	261064.32	0.5	9.38E+07
33	0.81	250504.32	253144.32	247864.32	0.5	9.38E+07
34	0.81	234664.32	247864.32	232024.32	0.5	9.38E+07
35	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
36	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
37	0.81	250504.32	226744.32	250504.32	0.5	9.38E+07
38	0.81	242584.32	250504.32	245224.32	0.5	9.38E+07
39	0.81	232024.32	247864.32	232024.32	0.5	9.38E+07
40	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
41	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
42	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
43	0.81	250504.32	226744.32	250504.32	0.5	9.38E+07
44	0.81	242584.32	250504.32	245224.32	0.5	9.38E+07
45	0.81	232024.32	247864.32	232024.32	0.5	9.38E+07
46	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
47	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
48	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
49	0.81	250504.32	226744.32	250504.32	0.5	9.38E+07
50	0.81	242584.32	250504.32	245224.32	0.5	9.38E+07
51	0.81	232024.32	247864.32	232024.32	0.5	9.38E+07
52	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
53	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
54	0.81	232024.32	221464.32	232024.32	0.5	9.38E+07
55	0.81	234664.32	247864.32	234664.32	0.5	9.38E+07
56	0.81	232024.32	250504.32	232024.32	0.5	9.38E+07
57	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
58	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
59	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
60	0.81	232024.32	221464.32	232024.32	0.5	9.38E+07
61	0.81	234664.32	247864.32	234664.32	0.5	9.38E+07
62	0.81	232024.32	250504.32	232024.32	0.5	9.38E+07
63	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
64	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
65	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
66	0.81	232024.32	221464.32	232024.32	0.5	9.38E+07
67	0.81	234664.32	247864.32	234664.32	0.5	9.38E+07
68	0.81	232024.32	250504.32	232024.32	0.5	9.38E+07
69	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
70	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
71	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
72	0.81	232024.32	247864.32	232024.32	0.5	9.38E+07
73	0.81	232024.32	255784.32	232024.32	0.5	9.38E+07
74	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
75	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
76	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
77	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
78	0.81	232024.32	247864.32	232024.32	0.5	9.38E+07
79	0.81	232024.32	255784.32	232024.32	0.5	9.38E+07
80	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
81	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
82	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
83	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
84	0.81	232024.32	247864.32	232024.32	0.5	9.38E+07
85	0.81	232024.32	255784.32	232024.32	0.5	9.38E+07
86	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
87	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
88	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
89	0.81	232024.32	245224.32	232024.32	0.5	9.38E+07
90	0.81	232024.32	253144.32	232024.32	0.5	9.38E+07
91	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
92	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
93	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
94	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
95	0.81	232024.32	245224.32	232024.32	0.5	9.38E+07
96	0.81	232024.32	253144.32	232024.32	0.5	9.38E+07
97	0.81	232024.32	242584.32	232024.32	0.5	9.38E+07
98	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
99	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
100	0.81	232024.32	218824.32	232024.32	0.5	9.38E+07
101	0.81	232024.32	245224.32	232024.32	0.5	9.38E+07
