¹¹¼þ±àºÅ	volume	h	mp	axial ratio	EI
1	1.008	0.6	757693.44	0.54	2.27E+08
2	1.008	0.6	679933.44	0.54	2.27E+08
3	1.008	0.6	757693.44	0.54	2.27E+08
4	1.008	0.6	679933.44	0.54	2.27E+08
5	1.008	0.6	757693.44	0.54	2.27E+08
6	1.008	0.6	679933.44	0.54	2.27E+08
7	1.008	0.6	757693.44	0.54	2.27E+08
8	1.008	0.6	679933.44	0.54	2.27E+08
9	1.008	0.6	757693.44	0.54	2.27E+08
10	1.008	0.6	679933.44	0.54	2.27E+08
11	1.008	0.6	757693.44	0.54	2.27E+08
12	1.008	0.6	679933.44	0.54	2.27E+08
13	0.864	0.6	757693.44	0.46	2.27E+08
14	0.864	0.6	679933.44	0.46	2.27E+08
15	0.864	0.6	757693.44	0.46	2.27E+08
16	0.864	0.6	679933.44	0.46	2.27E+08
17	0.864	0.6	757693.44	0.46	2.27E+08
18	0.864	0.6	679933.44	0.46	2.27E+08
19	0.864	0.6	757693.44	0.46	2.27E+08
20	0.864	0.6	679933.44	0.46	2.27E+08
21	0.864	0.6	757693.44	0.46	2.27E+08
22	0.864	0.6	679933.44	0.46	2.27E+08
23	0.864	0.6	757693.44	0.46	2.27E+08
24	0.864	0.6	679933.44	0.46	2.27E+08
25	0.864	0.6	757693.44	0.38	2.27E+08
26	0.864	0.6	679933.44	0.38	2.27E+08
27	0.864	0.6	757693.44	0.38	2.27E+08
28	0.864	0.6	679933.44	0.38	2.27E+08
29	0.864	0.6	757693.44	0.38	2.27E+08
30	0.864	0.6	679933.44	0.38	2.27E+08
31	0.864	0.6	757693.44	0.38	2.27E+08
32	0.864	0.6	679933.44	0.38	2.27E+08
33	0.864	0.6	757693.44	0.38	2.27E+08
34	0.864	0.6	679933.44	0.38	2.27E+08
35	0.864	0.6	757693.44	0.38	2.27E+08
36	0.864	0.6	679933.44	0.38	2.27E+08
37	0.864	0.6	757693.44	0.3	2.27E+08
38	0.864	0.6	679933.44	0.3	2.27E+08
39	0.864	0.6	757693.44	0.3	2.27E+08
40	0.864	0.6	679933.44	0.3	2.27E+08
41	0.864	0.6	757693.44	0.3	2.27E+08
42	0.864	0.6	679933.44	0.3	2.27E+08
43	0.864	0.6	757693.44	0.3	2.27E+08
44	0.864	0.6	679933.44	0.3	2.27E+08
45	0.864	0.6	757693.44	0.3	2.27E+08
46	0.864	0.6	679933.44	0.3	2.27E+08
47	0.864	0.6	757693.44	0.3	2.27E+08
48	0.864	0.6	679933.44	0.3	2.27E+08
49	0.54	0.5	449658.88	0.36	9.84E+07
50	0.54	0.5	441738.88	0.36	9.84E+07
51	0.54	0.5	423610.88	0.36	9.84E+07
52	0.54	0.5	415074.88	0.36	9.84E+07
53	0.54	0.5	449658.88	0.36	9.84E+07
54	0.54	0.5	441738.88	0.36	9.84E+07
55	0.54	0.5	423610.88	0.36	9.84E+07
56	0.54	0.5	415074.88	0.36	9.84E+07
57	0.54	0.5	449658.88	0.36	9.84E+07
58	0.54	0.5	441738.88	0.36	9.84E+07
59	0.54	0.5	423610.88	0.36	9.84E+07
60	0.54	0.5	415074.88	0.36	9.84E+07
61	0.54	0.5	440506.88	0.24	9.84E+07
62	0.54	0.5	415778.88	0.24	9.84E+07
63	0.54	0.5	415866.88	0.24	9.84E+07
64	0.54	0.5	411994.88	0.24	9.84E+07
65	0.54	0.5	440506.88	0.24	9.84E+07
66	0.54	0.5	415778.88	0.24	9.84E+07
67	0.54	0.5	415866.88	0.24	9.84E+07
68	0.54	0.5	411994.88	0.24	9.84E+07
69	0.54	0.5	440506.88	0.24	9.84E+07
70	0.54	0.5	415778.88	0.24	9.84E+07
71	0.54	0.5	415866.88	0.24	9.84E+07
72	0.54	0.5	411994.88	0.24	9.84E+07
73	0.54	0.5	438394.88	0.12	9.84E+07
74	0.54	0.5	411994.88	0.12	9.84E+07
75	0.54	0.5	438394.88	0.12	9.84E+07
76	0.54	0.5	411994.88	0.12	9.84E+07
77	0.54	0.5	438394.88	0.12	9.84E+07
78	0.54	0.5	411994.88	0.12	9.84E+07
79	0.54	0.5	438394.88	0.12	9.84E+07
80	0.54	0.5	411994.88	0.12	9.84E+07
81	0.54	0.5	438394.88	0.12	9.84E+07
82	0.54	0.5	411994.88	0.12	9.84E+07
83	0.54	0.5	438394.88	0.12	9.84E+07
84	0.54	0.5	411994.88	0.12	9.84E+07
