配构件编号：	1
Floor	DS1	DS2	DS3	DS4
1	0.537	0.352	0.111	0	
2	0.324	0.434	0.242	0	
3	0.283	0.421	0.296	0	
4	0.292	0.451	0.257	0	
5	0.226	0.452	0.322	0	
6	0.431	0.449	0.12	0	
7	0.857	0.139	0.004	0	


配构件编号：	2
Floor	DS1	DS2	DS3	DS4
1	0.535	0.414	0.042	0.009	
2	0.336	0.541	0.107	0.016	
3	0.304	0.557	0.124	0.015	
4	0.314	0.551	0.118	0.017	
5	0.289	0.579	0.114	0.018	
6	0.455	0.489	0.053	0.003	
7	0.788	0.207	0.005	0	


配构件编号：	3
Floor	DS1	DS2	DS3	DS4
1	0.193	0.359	0.448	0	
2	0.068	0.25	0.682	0	
3	0.063	0.217	0.72	0	
4	0.072	0.223	0.705	0	
5	0.051	0.18	0.769	0	
6	0.114	0.318	0.568	0	
7	0.319	0.532	0.149	0	


配构件编号：	4
Floor	DS1	DS2	DS3	DS4
1	0.96	0.036	0.004	0	
2	0.908	0.074	0.018	0	
3	0.889	0.087	0.024	0	
4	0.894	0.078	0.028	0	
5	0.867	0.102	0.031	0	
6	0.977	0.019	0.004	0	
7	1	0	0	0	


