,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
1,1.02932,1.02931,1.02963,1.02947,1.03112,1.03117,1.0311,1.03123,1.0314,1.0318,1.03187,1.02707,1.02751,1.02708,1.02198,1.02224,1.02573,1.02583,1.02209,1.01495,1.01874,1.01908,1.01391,1.00963,1.00036,1.00389,0.99358,1.0008,1.02203,1.02152,1.01788,1.00636,1.0076,1.00674,1.00479,1.00984,1.01974,1.02184,1.02157,1.01805,1.02323,1.02075,1.02048,1.02256,1.01224,1.02064,1.02035,1.0104,1.03062,1.03015,1.0297,1.02604,1.02789,1.02538,1.02493,1.02502,1.02561,1.03188,1.03238,1.02754,1.03586,1.03586,1.03471,1.02686,1.02508,1.02514,1.02437,1.02076,1.0228,1.02202,1.02308,1.02379,0.993812,0.998136,0.996125,0.986526,0.980097,0.986724,0.986832,0.9832,1.01667,1.02246,1.02373,1.01924,
2,1.02931,1.0293,1.02962,1.02945,1.03105,1.03111,1.03105,1.03119,1.03132,1.03173,1.03181,1.02699,1.02719,1.02677,1.02187,1.02233,1.02558,1.02568,1.02197,1.01494,1.01866,1.019,1.01381,1.00919,0.999748,1.00333,0.993015,1.00049,1.02191,1.0214,1.01777,1.00585,1.00723,1.00641,1.00432,1.00952,1.01966,1.02167,1.02139,1.01792,1.02314,1.02059,1.02035,1.02253,1.0121,1.02046,1.0202,1.01038,1.02992,1.02927,1.02887,1.02544,1.02755,1.02502,1.0246,1.02475,1.02548,1.03172,1.03221,1.02737,1.03524,1.03493,1.03378,1.02636,1.02464,1.02474,1.02401,1.02049,1.02252,1.02181,1.02288,1.02354,0.993045,0.997374,0.995371,0.985905,0.979599,0.986165,0.986216,0.982633,1.0162,1.02197,1.02323,1.01878,
3,1.02963,1.02962,1.02996,1.02981,1.03132,1.03138,1.03133,1.03146,1.03165,1.03204,1.03212,1.02739,1.02775,1.02736,1.02247,1.02282,1.02596,1.02606,1.02242,1.01543,1.01893,1.0193,1.0142,1.00953,1.0004,1.00402,0.993682,1.00142,1.02235,1.02186,1.01822,1.00631,1.00705,1.00628,1.00431,1.01001,1.02004,1.02205,1.02178,1.01831,1.02347,1.02099,1.02072,1.02278,1.01236,1.02079,1.02052,1.01055,1.03065,1.0301,1.02967,1.02619,1.02804,1.02554,1.02511,1.02526,1.02571,1.03189,1.03239,1.0276,1.03567,1.0356,1.03446,1.02681,1.02498,1.02498,1.02422,1.02074,1.02262,1.02164,1.02273,1.02357,0.992985,0.997137,0.995102,0.985303,0.979032,0.985481,0.985583,0.981957,1.01571,1.0215,1.0228,1.01845,
4,1.02947,1.02945,1.02981,1.02968,1.03113,1.03118,1.03112,1.03125,1.03157,1.03195,1.03202,1.02721,1.02765,1.02723,1.02239,1.02264,1.02581,1.02595,1.02235,1.01523,1.0187,1.01914,1.01388,1.0094,1.00024,1.00393,0.993477,1.00169,1.02229,1.0218,1.01812,1.00605,1.00622,1.00549,1.00353,1.01002,1.01987,1.02185,1.0216,1.01813,1.02325,1.02082,1.02054,1.0225,1.01205,1.02072,1.02043,1.01024,1.0307,1.03017,1.02974,1.02625,1.028,1.02553,1.0251,1.02524,1.02556,1.03177,1.03226,1.02745,1.03546,1.03559,1.03442,1.02654,1.02461,1.02453,1.02373,1.02026,1.02201,1.02079,1.0219,1.02293,0.991963,0.995947,0.993876,0.983722,0.977372,0.983669,0.983818,0.980156,1.01405,1.01998,1.02136,1.01711,
5,1.03112,1.03105,1.03132,1.03113,1.03221,1.03239,1.03244,1.0327,1.03141,1.03199,1.03218,1.02812,1.02678,1.02676,1.02236,1.02481,1.02609,1.02604,1.02235,1.01722,1.01952,1.01936,1.01589,1.00899,1.00039,1.00339,0.993827,0.999622,1.02185,1.0214,1.0179,1.00536,1.00895,1.00824,1.00618,1.0098,1.02166,1.02325,1.02282,1.01972,1.02468,1.0216,1.02146,1.02436,1.01317,1.01976,1.01954,1.01116,1.02844,1.02721,1.027,1.02447,1.02732,1.02463,1.02431,1.02466,1.02566,1.03126,1.03169,1.02742,1.03414,1.03229,1.03133,1.02651,1.02481,1.02531,1.02493,1.02201,1.02389,1.02441,1.02543,1.025,0.99704,1.00177,0.999906,0.99192,0.985559,0.992455,0.992233,0.988881,1.02037,1.02532,1.02612,1.02173,
6,1.03117,1.03111,1.03138,1.03118,1.03239,1.03256,1.0326,1.03284,1.03174,1.03231,1.03248,1.02818,1.02683,1.02674,1.02242,1.02455,1.02621,1.02618,1.02242,1.01702,1.01962,1.01955,1.01578,1.00879,0.999546,1.00272,0.993049,0.999244,1.0219,1.02145,1.01795,1.00542,1.0089,1.00817,1.006,1.00949,1.02154,1.02314,1.02272,1.01957,1.02468,1.02161,1.02148,1.02443,1.01315,1.02015,1.01995,1.01131,1.02852,1.02724,1.02701,1.02445,1.02735,1.0246,1.02429,1.02469,1.02598,1.03182,1.03227,1.0278,1.0343,1.03245,1.03147,1.02643,1.02485,1.02535,1.02495,1.02193,1.024,1.02451,1.02557,1.02523,0.995867,1.0007,0.998775,0.990616,0.984726,0.991609,0.991345,0.987941,1.0205,1.02551,1.02635,1.02191,
7,1.0311,1.03105,1.03133,1.03112,1.03244,1.0326,1.03262,1.03284,1.03197,1.03252,1.03268,1.02819,1.02698,1.0268,1.02244,1.02434,1.02633,1.02632,1.02254,1.0168,1.01976,1.01977,1.0156,1.00894,0.999394,1.00267,0.992865,0.999375,1.02214,1.02168,1.01816,1.00566,1.00904,1.00827,1.00599,1.00956,1.02144,1.02307,1.02268,1.01949,1.02466,1.02166,1.02154,1.02441,1.01319,1.02051,1.02033,1.01147,1.02865,1.02737,1.02713,1.02451,1.02751,1.02479,1.02446,1.02484,1.02626,1.03222,1.03267,1.02806,1.03446,1.0327,1.03168,1.02644,1.02493,1.02541,1.02497,1.02187,1.02401,1.02441,1.02547,1.02524,0.995288,1.00011,0.998172,0.989885,0.984065,0.990925,0.990665,0.987217,1.02021,1.02532,1.02622,1.02174,
8,1.03123,1.03119,1.03146,1.03125,1.0327,1.03284,1.03284,1.03304,1.03235,1.03287,1.03301,1.02857,1.02768,1.02747,1.02294,1.02456,1.02677,1.02677,1.02297,1.01701,1.02018,1.02022,1.0159,1.00943,1.00001,1.00334,0.993419,0.999917,1.0227,1.02223,1.0187,1.0064,1.00965,1.00884,1.00658,1.00989,1.02156,1.02332,1.02295,1.01967,1.0249,1.02201,1.02186,1.02463,1.01362,1.02103,1.02083,1.01192,1.02935,1.02819,1.02792,1.02515,1.02804,1.02537,1.02503,1.02535,1.02665,1.03264,1.0331,1.02847,1.03531,1.03371,1.03269,1.02714,1.02567,1.02613,1.02564,1.02243,1.02466,1.02491,1.02597,1.02584,0.995681,1.00052,0.998568,0.990118,0.984362,0.991297,0.991068,0.987553,1.02104,1.02621,1.02714,1.02258,
9,1.0314,1.03132,1.03165,1.03157,1.03141,1.03174,1.03197,1.03235,1.02903,1.02972,1.03004,1.02795,1.02765,1.02867,1.02422,1.02778,1.02566,1.02526,1.02205,1.02013,1.01821,1.01735,1.01846,1.00803,1.00459,1.0069,0.998599,1.00144,1.02057,1.0202,1.01701,1.0043,1.00654,1.00622,1.00574,1.0095,1.02226,1.02413,1.0235,1.02035,1.02502,1.02151,1.02124,1.02421,1.01286,1.0164,1.01603,1.00951,1.03081,1.0305,1.03027,1.02728,1.02721,1.02434,1.02402,1.02444,1.0226,1.02662,1.02709,1.02449,1.03536,1.03407,1.03335,1.02868,1.02569,1.02601,1.02582,1.02346,1.02413,1.02448,1.02546,1.02502,1.00273,1.007,1.00516,0.997299,0.990754,0.997588,0.997612,0.99468,1.02263,1.02652,1.02704,1.0232,
10,1.0318,1.03173,1.03204,1.03195,1.03199,1.03231,1.03252,1.03287,1.02972,1.03041,1.03072,1.02851,1.02827,1.02923,1.02475,1.02804,1.02629,1.02589,1.0226,1.0204,1.01891,1.01809,1.01892,1.00819,1.00431,1.00677,0.99834,1.00148,1.02124,1.02086,1.01766,1.00516,1.00739,1.00703,1.00647,1.00955,1.02259,1.02451,1.02389,1.02069,1.02548,1.02206,1.0218,1.02477,1.01328,1.01718,1.01682,1.01003,1.03131,1.03093,1.03068,1.02767,1.02783,1.02495,1.02463,1.02506,1.02342,1.02765,1.02815,1.02537,1.03606,1.03472,1.03399,1.02922,1.02635,1.02673,1.02654,1.02408,1.02496,1.02535,1.02636,1.02595,1.00234,1.00679,1.00488,0.996811,0.990777,0.997704,0.997663,0.994617,1.02411,1.02799,1.02852,1.02451,
