Floor	DS1	DS2	DS3	DS4	DS5	DS6
1	0.027933	0.0122421	0	0.00391385	0.00275507	0.000453266	
2	0.0180518	0.0141143	0	0.00736261	0.00610135	0.00166723	
3	0.0151745	0.0142365	0	0.0083125	0.00738232	0.00219144	
4	0.0136926	0.0141025	0	0.00915203	0.00801295	0.00233727	
5	0.0131092	0.0142601	0	0.00949099	0.00789865	0.00253829	
6	0.0132157	0.0140355	0	0.00909685	0.00830462	0.00264471	
7	0.0132117	0.0141892	0	0.00945552	0.00786712	0.00257376	
8	0.0118311	0.0120878	0	0.00777365	0.00687162	0.00197635	
9	0.0121723	0.0123041	0	0.00741216	0.00666892	0.00198311	
10	0.0126622	0.0125777	0	0.00738514	0.00611824	0.0017973	
11	0.0132872	0.0125912	0	0.00718243	0.00565878	0.00182095	
12	0.0131385	0.0125473	0	0.00716554	0.00595608	0.00173311	
13	0.0127703	0.0120912	0	0.00723649	0.00642905	0.00201351	
14	0.0117804	0.0116047	0	0.00766892	0.00720608	0.00228041	
15	0.0110845	0.0111554	0	0.00798649	0.00738514	0.00292905	
16	0.00980743	0.00991892	0	0.00784797	0.00860473	0.00436149	
17	0.00764077	0.00806025	0	0.00669482	0.00720439	0.00418356	
18	0.00759291	0.00841216	0	0.00683277	0.00731982	0.00362613	
19	0.00797297	0.00861205	0	0.00684966	0.00717061	0.00317849	
20	0.00892173	0.00859234	0	0.00662725	0.00650056	0.00314189	
21	0.0100422	0.00918637	0	0.0061205	0.00600788	0.0024268	
22	0.0117145	0.00897804	0	0.00553491	0.00512387	0.00243243	
23	0.0130208	0.0086768	0	0.00483671	0.00459459	0.00265484	
24	0.0155321	0.00807151	0	0.00399493	0.00369651	0.00248874	
25	0.0142117	0.0088598	0	0.00438626	0.00445383	0.00187218	
