Åä¹¹¼þ±àºÅ	mean_DS1	mean_DS2	mean_DS3	dev_DS1	dev_DS2	dev_DS3
1	0.7	1.2	1.43	0.25	0.25	0.25
2	0.6	0	0	0.4	0	0
3	0.39	0	0	0.45	0	0
4	1.5	0	0	0.4	0	0
5	2.25	4.1	0	0.5	0.5	0
6	1.2	2.4	0	0.5	0.5	0
7	0.55	1.1	0	0.5	0.5	0
8	1.2	2.4	0	0.5	0.5	0
9	2.25	0	0	0.5	0	0
10	1.2	2.4	0	0.5	0.5	0
11	0.55	1.1	0	0.5	0.5	0
12	1.1	2.4	0	0.4	0.5	0
13	0.75	0.95	0	0.4	0.4	0
14	1.2	2.4	0	0.5	0.5	0
15	0.55	1.1	0	0.5	0.5	0
16	0.2	0	0	0.4	0	0
17	0.5	0	0	0.4	0	0
18	0.25	0	0	0.45	0	0
19	1.9	0	0	0.4	0	0
20	1.5	2.25	0	0.4	0.4	0
21	1.3	0	0	0.4	0	0
22	1.9	0	0	0.4	0	0
23	0.5	0	0	0.4	0	0
24	0.25	0	0	0.4	0	0
25	1.01	0	0	0.6	0	0
26	0.73	0	0	0.45	0	0
27	2.16	0	0	0.45	0	0
28	0.9	0	0	0.4	0	0
