ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.087	0.191	0.208	0.342	0.107	0.065	
2	0.04	0.18	0.207	0.364	0.135	0.074	
3	0.043	0.149	0.172	0.404	0.141	0.091	
4	0.073	0.2	0.213	0.349	0.117	0.048	
5	0.048	0.173	0.215	0.364	0.12	0.08	
6	0.036	0.171	0.197	0.379	0.12	0.097	
7	0.096	0.168	0.199	0.37	0.108	0.059	
8	0.046	0.17	0.198	0.351	0.14	0.095	
9	0.053	0.162	0.189	0.399	0.116	0.081	
10	0.077	0.205	0.169	0.355	0.112	0.082	
11	0.041	0.184	0.185	0.381	0.134	0.075	
12	0.036	0.142	0.183	0.402	0.136	0.101	
13	0.097	0.208	0.162	0.359	0.118	0.056	
14	0.048	0.172	0.236	0.362	0.124	0.058	
15	0.048	0.173	0.168	0.386	0.127	0.098	
16	0.087	0.187	0.206	0.323	0.116	0.081	
17	0.049	0.163	0.184	0.418	0.101	0.085	
18	0.045	0.181	0.203	0.369	0.121	0.081	
19	0.029	0.191	0.229	0.412	0.108	0.031	
20	0.069	0.247	0.24	0.353	0.066	0.025	
21	0.04	0.196	0.215	0.414	0.108	0.027	
22	0.029	0.186	0.247	0.403	0.105	0.03	
23	0.043	0.255	0.252	0.361	0.067	0.022	
24	0.027	0.188	0.26	0.399	0.1	0.026	
25	0.018	0.2	0.239	0.392	0.111	0.04	
26	0.081	0.23	0.241	0.348	0.072	0.028	
27	0.043	0.196	0.23	0.399	0.094	0.038	
28	0.018	0.14	0.251	0.472	0.095	0.024	
29	0.132	0.437	0.241	0.173	0.014	0.003	
30	0.01	0.14	0.23	0.474	0.111	0.035	
31	0.019	0.171	0.254	0.418	0.108	0.03	
32	0.228	0.383	0.22	0.158	0.008	0.003	
33	0.01	0.143	0.236	0.492	0.093	0.026	
34	0.016	0.164	0.264	0.417	0.11	0.029	
35	0.149	0.416	0.252	0.163	0.018	0.002	
36	0.006	0.136	0.244	0.478	0.116	0.02	
37	0.125	0.386	0.269	0.208	0.011	0.001	
38	0.694	0.273	0.031	0.002	0	0	
39	0.114	0.513	0.258	0.115	0	0	
40	0.053	0.411	0.309	0.217	0.009	0.001	
41	0.515	0.443	0.036	0.006	0	0	
42	0.101	0.543	0.245	0.109	0.002	0	
43	0.108	0.392	0.277	0.208	0.013	0.002	
44	0.649	0.312	0.035	0.004	0	0	
45	0.112	0.531	0.249	0.106	0.002	0	
46	0.446	0.464	0.075	0.015	0	0	
47	1	0	0	0	0	0	
48	0.53	0.42	0.042	0.008	0	0	
49	0.341	0.542	0.092	0.025	0	0	
50	0.992	0.008	0	0	0	0	
51	0.396	0.526	0.072	0.006	0	0	
52	0.447	0.476	0.063	0.014	0	0	
53	0.997	0.003	0	0	0	0	
54	0.513	0.428	0.058	0.001	0	0	
55	0.079	0.251	0.248	0.313	0.081	0.028	
56	0.063	0.249	0.237	0.338	0.077	0.036	
57	0.06	0.264	0.267	0.328	0.066	0.015	
58	0.061	0.29	0.24	0.304	0.081	0.024	
59	0.075	0.238	0.224	0.36	0.067	0.036	
60	0.033	0.214	0.235	0.376	0.107	0.035	
61	0.076	0.269	0.223	0.325	0.08	0.027	
62	0.063	0.249	0.236	0.339	0.073	0.04	
63	0.045	0.241	0.233	0.384	0.062	0.035	
64	0.065	0.232	0.249	0.343	0.087	0.024	
65	0.05	0.262	0.224	0.371	0.068	0.025	
66	0.062	0.24	0.24	0.339	0.09	0.029	
67	0.049	0.237	0.247	0.354	0.08	0.033	
68	0.06	0.223	0.253	0.352	0.083	0.029	
69	0.061	0.217	0.251	0.367	0.081	0.023	
70	0.066	0.232	0.219	0.358	0.083	0.042	
71	0.02	0.202	0.241	0.41	0.085	0.042	
72	0.037	0.186	0.21	0.408	0.118	0.041	
73	0.049	0.197	0.216	0.403	0.098	0.037	
74	0.037	0.208	0.214	0.402	0.103	0.036	
75	0.029	0.175	0.239	0.395	0.121	0.041	
76	0.038	0.17	0.236	0.413	0.105	0.038	
77	0.031	0.193	0.235	0.39	0.103	0.048	
78	0.044	0.18	0.225	0.386	0.109	0.056	
79	0.037	0.16	0.208	0.416	0.126	0.053	
80	0.025	0.18	0.232	0.433	0.087	0.043	
81	0.026	0.182	0.244	0.403	0.104	0.041	
82	0.031	0.196	0.243	0.402	0.101	0.027	
83	0.031	0.186	0.268	0.402	0.077	0.036	
84	0.024	0.201	0.25	0.403	0.097	0.025	
85	0.036	0.192	0.239	0.419	0.085	0.029	
86	0.033	0.17	0.247	0.422	0.096	0.032	
87	0.029	0.173	0.245	0.411	0.104	0.038	
88	0.053	0.266	0.246	0.346	0.073	0.016	
89	0.039	0.258	0.298	0.348	0.047	0.01	
90	0.048	0.281	0.265	0.33	0.058	0.018	
91	0.047	0.262	0.259	0.373	0.05	0.009	
92	0.042	0.259	0.285	0.348	0.051	0.015	
93	0.048	0.272	0.259	0.364	0.05	0.007	
94	0.05	0.278	0.249	0.352	0.064	0.007	
95	0.043	0.261	0.287	0.344	0.054	0.011	
96	0.213	0.465	0.194	0.12	0.006	0.002	
97	0.218	0.495	0.199	0.082	0.006	0	
98	0.166	0.519	0.218	0.091	0.005	0.001	
99	0.178	0.543	0.202	0.075	0.001	0.001	
100	0.142	0.532	0.211	0.108	0.007	0	
101	0.187	0.543	0.188	0.08	0.002	0	
102	0.21	0.443	0.217	0.124	0.005	0.001	
103	0.216	0.485	0.206	0.089	0.003	0.001	
104	0.647	0.309	0.036	0.008	0	0	
105	0.69	0.292	0.018	0	0	0	
106	0.516	0.43	0.049	0.005	0	0	
107	0.506	0.453	0.036	0.005	0	0	
108	0.561	0.383	0.046	0.01	0	0	
109	0.45	0.492	0.055	0.003	0	0	
110	0.64	0.313	0.041	0.006	0	0	
111	0.648	0.327	0.02	0.005	0	0	
112	0.051	0.235	0.249	0.362	0.071	0.032	
113	0.08	0.309	0.282	0.274	0.047	0.008	
114	0.057	0.228	0.255	0.347	0.087	0.026	
115	0.032	0.183	0.279	0.404	0.072	0.03	
116	0.057	0.253	0.236	0.339	0.088	0.027	
117	0.03	0.202	0.253	0.368	0.116	0.031	
118	0.046	0.221	0.244	0.366	0.084	0.039	
119	0.095	0.32	0.259	0.271	0.047	0.008	
