ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.286	0.336	0.176	0.119	0.05	0.033	
2	0.215	0.388	0.204	0.122	0.05	0.021	
3	0.304	0.319	0.171	0.133	0.052	0.021	
4	0.237	0.353	0.192	0.159	0.035	0.024	
5	0.317	0.32	0.169	0.124	0.048	0.022	
6	0.227	0.392	0.182	0.147	0.038	0.014	
7	0.317	0.312	0.183	0.121	0.047	0.02	
8	0.248	0.368	0.18	0.146	0.038	0.02	
9	0.263	0.315	0.192	0.155	0.051	0.024	
10	0.222	0.364	0.198	0.148	0.048	0.02	
11	0.27	0.314	0.188	0.16	0.05	0.018	
12	0.99	0.01	0	0	0	0	
13	0.969	0.03	0.001	0	0	0	
14	0.958	0.04	0.002	0	0	0	
15	0.98	0.02	0	0	0	0	
16	0.899	0.095	0.005	0.001	0	0	
17	0.882	0.1	0.016	0.002	0	0	
18	0.805	0.174	0.02	0.001	0	0	
19	0.884	0.107	0.008	0.001	0	0	
20	0.951	0.048	0.001	0	0	0	
21	0.978	0.02	0.002	0	0	0	
22	0.941	0.058	0	0.001	0	0	
23	0.958	0.039	0.003	0	0	0	
24	0.998	0.002	0	0	0	0	
25	0.994	0.006	0	0	0	0	
26	0.986	0.013	0.001	0	0	0	
27	0.997	0.003	0	0	0	0	
28	0.979	0.021	0	0	0	0	
29	0.964	0.034	0.002	0	0	0	
30	0.917	0.081	0.002	0	0	0	
31	0.969	0.029	0.001	0.001	0	0	
32	0.992	0.008	0	0	0	0	
33	0.985	0.014	0.001	0	0	0	
34	0.981	0.019	0	0	0	0	
35	0.996	0.004	0	0	0	0	
36	0.976	0.023	0.001	0	0	0	
37	0.998	0.002	0	0	0	0	
38	0.971	0.027	0.001	0.001	0	0	
39	0.98	0.017	0.003	0	0	0	
40	0.998	0.002	0	0	0	0	
41	0.963	0.03	0.007	0	0	0	
42	0.874	0.121	0.004	0.001	0	0	
43	0.916	0.073	0.009	0.002	0	0	
44	0.945	0.054	0.001	0	0	0	
45	0.999	0.001	0	0	0	0	
46	0.989	0.011	0	0	0	0	
47	0.993	0.007	0	0	0	0	
48	0.997	0.003	0	0	0	0	
49	0.719	0.193	0.068	0.019	0	0.001	
50	0.637	0.213	0.106	0.038	0.005	0.001	
51	0.612	0.256	0.085	0.041	0.005	0.001	
52	0.698	0.226	0.058	0.017	0.001	0	
53	0.506	0.278	0.136	0.07	0.009	0.001	
54	0.449	0.316	0.135	0.089	0.01	0.001	
55	0.435	0.312	0.146	0.089	0.014	0.004	
56	0.489	0.327	0.119	0.048	0.016	0.001	
57	0.749	0.159	0.053	0.034	0.005	0	
58	0.62	0.229	0.108	0.036	0.007	0	
59	0.605	0.261	0.089	0.039	0.005	0.001	
60	0.686	0.223	0.061	0.028	0.002	0	
61	0.805	0.159	0.031	0.005	0	0	
62	0.702	0.239	0.049	0.01	0	0	
63	0.701	0.241	0.041	0.015	0.002	0	
64	0.8	0.168	0.028	0.004	0	0	
65	0.616	0.262	0.079	0.038	0.004	0.001	
66	0.547	0.294	0.117	0.036	0.006	0	
67	0.527	0.322	0.102	0.041	0.008	0	
68	0.581	0.273	0.108	0.034	0.004	0	
69	0.813	0.131	0.04	0.015	0.001	0	
70	0.686	0.225	0.066	0.022	0.001	0	
71	0.682	0.237	0.064	0.017	0	0	
72	0.777	0.182	0.034	0.007	0	0	
73	0.82	0.144	0.03	0.006	0	0	
74	0.64	0.296	0.055	0.009	0	0	
75	0.685	0.25	0.046	0.018	0.001	0	
76	0.778	0.191	0.026	0.005	0	0	
77	0.867	0.111	0.016	0.006	0	0	
78	0.882	0.103	0.014	0.001	0	0	
79	0.901	0.087	0.01	0.001	0.001	0	
80	0.843	0.132	0.024	0.001	0	0	
81	0.815	0.149	0.033	0.003	0	0	
82	0.657	0.272	0.055	0.015	0.001	0	
83	0.688	0.233	0.065	0.014	0	0	
84	0.776	0.201	0.02	0.003	0	0	
