,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,1.02932,1.02928,1.03057,1.02866,1.02755,1.02632,1.02111,1.02008,1.02498,1.02534,1.01618,1.00823,1.00354,1.00477,1.00556,1.00755,1.00945,1.01274,1.01305,1.01539,1.01747,1.01895,1.01695,1.01479,1.01482,
2,1.02928,1.02887,1.02984,1.02757,1.02588,1.02417,1.01826,1.01717,1.022,1.02197,1.012,1.00371,0.998551,0.999179,0.999412,1.00086,1.00236,1.00513,1.00472,1.00664,1.00852,1.00997,1.00841,1.0068,1.00682,
3,1.03057,1.02984,1.03084,1.02863,1.027,1.02552,1.01987,1.01943,1.02454,1.02475,1.01443,1.00579,0.999844,0.998963,0.998029,0.998485,0.999254,1.00132,1.0004,1.0021,1.00404,1.00561,1.00429,1.00299,1.00325,
4,1.02866,1.02757,1.02863,1.02625,1.0245,1.02302,1.01729,1.01733,1.02284,1.02319,1.01237,1.0033,0.996634,0.994531,0.992641,0.99231,0.992497,0.994102,0.992804,0.99445,0.996535,0.998229,0.996993,0.995866,0.996345,
5,1.02755,1.02588,1.027,1.0245,1.02267,1.02128,1.01571,1.01653,1.02249,1.02309,1.01204,1.00277,0.995396,0.991604,0.988339,0.986798,0.986055,0.986812,0.984985,0.986446,0.98865,0.990475,0.989427,0.988581,0.98939,
6,1.02632,1.02417,1.02552,1.02302,1.02128,1.02013,1.01477,1.01628,1.0227,1.02355,1.01218,1.00254,0.994369,0.988942,0.984308,0.981562,0.979836,0.979764,0.977498,0.978922,0.981398,0.983404,0.982443,0.981795,0.983045,
7,1.02111,1.01826,1.01987,1.01729,1.01571,1.01477,1.00972,1.01209,1.01916,1.02037,1.00895,0.999262,0.990727,0.98401,0.978217,0.974362,0.971665,0.970652,0.968045,0.969312,0.971877,0.973962,0.973101,0.972594,0.974235,
8,1.02008,1.01717,1.01943,1.01733,1.01653,1.01628,1.01209,1.01515,1.02255,1.02428,1.01362,1.00426,0.995833,0.988452,0.981863,0.977135,0.973608,0.971812,0.968971,0.970254,0.973171,0.97558,0.974626,0.973902,0.97602,
9,1.02498,1.022,1.02454,1.02284,1.02249,1.0227,1.01916,1.02255,1.02967,1.03165,1.02186,1.01305,1.00478,0.996659,0.989233,0.983561,0.979226,0.976593,0.973343,0.974521,0.977781,0.980532,0.979678,0.978976,0.981533,
10,1.02534,1.02197,1.02475,1.02319,1.02309,1.02355,1.02037,1.02428,1.03165,1.03367,1.02401,1.01535,1.00699,0.998088,0.989797,0.983151,0.977873,0.974161,0.970294,0.971188,0.974534,0.977414,0.976763,0.97629,0.979239,
11,1.01618,1.012,1.01443,1.01237,1.01204,1.01218,1.00895,1.01362,1.02186,1.02401,1.01407,1.00559,0.997623,0.989077,0.981138,0.974823,0.969822,0.965998,0.962063,0.96234,0.96476,0.967156,0.966816,0.966507,0.968957,
12,1.00823,1.00371,1.00579,1.0033,1.00277,1.00254,0.999262,1.00426,1.01305,1.01535,1.00559,0.997457,0.990185,0.98267,0.975646,0.970185,0.965896,0.96256,0.958922,0.958964,0.96076,0.962821,0.962509,0.962046,0.963966,
13,1.00354,0.998551,0.999844,0.996634,0.995396,0.994369,0.990727,0.995833,1.00478,1.00699,0.997623,0.990185,0.983704,0.97708,0.970859,0.966135,0.962528,0.959616,0.956147,0.955872,0.956996,0.958667,0.958534,0.958153,0.959486,
14,1.00477,0.999179,0.998963,0.994531,0.991604,0.988942,0.98401,0.988452,0.996659,0.998088,0.989077,0.98267,0.97708,0.971172,0.965753,0.961772,0.958969,0.956579,0.953211,0.952582,0.952996,0.954147,0.954368,0.95446,0.955083,
15,1.00556,0.999412,0.998029,0.992641,0.988339,0.984308,0.978217,0.981863,0.989233,0.989797,0.981138,0.975646,0.970859,0.965753,0.961068,0.957749,0.955564,0.953595,0.950359,0.949554,0.949531,0.95032,0.950728,0.951129,0.951285,
16,1.00755,1.00086,0.998485,0.99231,0.986798,0.981562,0.974362,0.977135,0.983561,0.983151,0.974823,0.970185,0.966135,0.961772,0.957749,0.954927,0.953226,0.951562,0.948401,0.947473,0.947154,0.947684,0.948231,0.948885,0.948705,
17,1.00945,1.00236,0.999254,0.992497,0.986055,0.979836,0.971665,0.973608,0.979226,0.977873,0.969822,0.965896,0.962528,0.958969,0.955564,0.953226,0.951889,0.950492,0.947384,0.94638,0.945848,0.946195,0.946821,0.947637,0.947202,
18,1.01274,1.00513,1.00132,0.994102,0.986812,0.979764,0.970652,0.971812,0.976593,0.974161,0.965998,0.96256,0.959616,0.956579,0.953595,0.951562,0.950492,0.949237,0.94616,0.945104,0.944423,0.944608,0.945308,0.946323,0.945715,
19,1.01305,1.00472,1.0004,0.992804,0.984985,0.977498,0.968045,0.968971,0.973343,0.970294,0.962063,0.958922,0.956147,0.953211,0.950359,0.948401,0.947384,0.94616,0.943117,0.942044,0.941269,0.941327,0.942057,0.943196,0.942533,
20,1.01539,1.00664,1.0021,0.99445,0.986446,0.978922,0.969312,0.970254,0.974521,0.971188,0.96234,0.958964,0.955872,0.952582,0.949554,0.947473,0.94638,0.945104,0.942044,0.940953,0.940198,0.94022,0.940975,0.942224,0.941589,
21,1.01747,1.00852,1.00404,0.996535,0.98865,0.981398,0.971877,0.973171,0.977781,0.974534,0.96476,0.96076,0.956996,0.952996,0.949531,0.947154,0.945848,0.944423,0.941269,0.940198,0.93948,0.93953,0.940305,0.941634,0.941089,
22,1.01895,1.00997,1.00561,0.998229,0.990475,0.983404,0.973962,0.97558,0.980532,0.977414,0.967156,0.962821,0.958667,0.954147,0.95032,0.947684,0.946195,0.944608,0.941327,0.94022,0.93953,0.939585,0.940407,0.941786,0.941289,
23,1.01695,1.00841,1.00429,0.996993,0.989427,0.982443,0.973101,0.974626,0.979678,0.976763,0.966816,0.962509,0.958534,0.954368,0.950728,0.948231,0.946821,0.945308,0.942057,0.940975,0.940305,0.940407,0.94117,0.94247,0.941963,
24,1.01479,1.0068,1.00299,0.995866,0.988581,0.981795,0.972594,0.973902,0.978976,0.97629,0.966507,0.962046,0.958153,0.95446,0.951129,0.948885,0.947637,0.946323,0.943196,0.942224,0.941634,0.941786,0.94247,0.943612,0.943129,
25,1.01482,1.00682,1.00325,0.996345,0.98939,0.983045,0.974235,0.97602,0.981533,0.979239,0.968957,0.963966,0.959486,0.955083,0.951285,0.948705,0.947202,0.945715,0.942533,0.941589,0.941089,0.941289,0.941963,0.943129,0.942753,
