Floor	DS1	DS2	DS3	DS4	DS5	DS6
1	0.03718	0.000385	0.000365	0.001885	0.00016	2.5e-005	
2	0.030725	0.000475	0.000475	0.00693	0.00106	0.000335	
3	0.02827	0.000585	0.000585	0.00855	0.001505	0.000505	
4	0.02688	0.000575	0.00052	0.00971	0.001725	0.00059	
5	0.026085	0.00067	0.000485	0.01015	0.001995	0.000615	
6	0.02524	0.00074	0.00067	0.01082	0.00184	0.00069	
7	0.0252	0.00066	0.00057	0.01102	0.00185	0.0007	
8	0.024965	0.000695	0.000535	0.011085	0.00206	0.00066	
9	0.025095	0.00057	0.00064	0.0111	0.001975	0.00062	
10	0.024595	0.00068	0.000665	0.011385	0.00206	0.000615	
11	0.024275	0.000685	0.00056	0.01181	0.002025	0.000645	
12	0.02326	0.00073	0.00069	0.01265	0.00205	0.00062	
13	0.02243	0.00094	0.00068	0.013055	0.002305	0.00059	
14	0.021255	0.00085	0.00084	0.01386	0.002475	0.00072	
15	0.020385	0.000785	0.00074	0.01445	0.002705	0.000935	
16	0.01946	0.000775	0.000725	0.014655	0.003225	0.00116	
17	0.019105	0.00081	0.000815	0.01433	0.003565	0.001375	
18	0.018665	0.000805	0.00071	0.014845	0.00359	0.001385	
19	0.019165	0.000805	0.00081	0.01444	0.003445	0.001335	
20	0.019835	0.000695	0.00077	0.014235	0.00318	0.001285	
21	0.02077	0.000825	0.000695	0.01365	0.003015	0.001045	
22	0.022785	0.00079	0.000735	0.01234	0.00245	0.0009	
23	0.023955	0.00068	0.00069	0.011615	0.00223	0.00083	
24	0.026955	0.00082	0.000625	0.009915	0.001345	0.00034	
25	0.029865	0.001765	0.00125	0.006525	0.000515	8e-005	
