Floor	DS1	DS2	DS3	DS4	DS5	DS6
1	0.0243279	0.0384861	0.00333333	0.00131365	0.000190088	0.00023761	
2	0.0208588	0.0403971	0.00441955	0.00155804	0.000410726	0.000244399	
3	0.0474975	0.00726965	9.34827e-005	0.000118228	1.0998e-005	0	
4	0.0492269	0.00557047	0.000137475	5.49898e-005	0	0	
5	0.0506456	0.00421772	0.00010998	1.64969e-005	0	0	
6	0.0523091	0.00263401	4.67413e-005	0	0	0	
7	0.0470135	0.00775081	0.000173218	5.22403e-005	0	0	
8	0.0381784	0.00507699	0.000154243	3.25866e-005	6.51731e-006	0	
9	0.0384521	0.00484453	0.000128174	2.38968e-005	0	0	
10	0.0384587	0.00486409	8.68975e-005	3.91039e-005	0	0	
11	0.0381697	0.00515085	8.47251e-005	4.34487e-005	0	0	
12	0.0386086	0.00468377	0.000115139	4.12763e-005	0	0	
13	0.0310333	0.0116204	0.000556144	0.000175967	4.99661e-005	1.30346e-005	
14	0.0238181	0.00848768	0.000647013	0.000201256	8.48269e-005	2.66124e-005	
15	0.0233856	0.00868394	0.00073184	0.000322675	9.48065e-005	4.65716e-005	
16	0.0173562	0.0130584	0.00155183	0.000841616	0.000267787	0.000189613	
17	0.0169654	0.0132663	0.00168988	0.00082332	0.000296062	0.000224542	
18	0.0189507	0.00333116	0.00118045	0.000596334	0.000218737	0.000162525	
19	0.0192831	0.00310265	0.00112057	0.000556008	0.000210183	0.000167413	
20	0.0196473	0.00284969	0.00103503	0.00052668	0.000216293	0.000164969	
21	0.0208876	0.00216538	0.000751527	0.000376375	0.000153971	0.000105092	
22	0.0223014	0.00103014	0.000585336	0.000320163	0.000118534	8.43177e-005	
23	0.0224138	0.000982485	0.00055112	0.000294501	0.000114868	8.30957e-005	
24	0.0230627	0.00063666	0.000373931	0.000207739	8.55397e-005	7.33198e-005	
25	0.0163356	0.00386884	0.00256864	0.00113768	0.000371487	0.000157637	
