Floor	DS1	DS2	DS3	DS4	DS5	DS6
1	0.0301836	0.0114617	0	0.00349212	0.001817	0.000342905	
2	0.0215873	0.0136059	0	0.00683052	0.00406757	0.00120608	
3	0.0190687	0.0135467	0	0.00811149	0.00518694	0.00138345	
4	0.017768	0.0134679	0	0.00878547	0.00574662	0.00152928	
5	0.017228	0.0136492	0	0.00891948	0.00586486	0.0016357	
6	0.0170231	0.0136216	0	0.00904167	0.00585698	0.00175394	
7	0.0169245	0.0139172	0	0.00888007	0.00583333	0.00174212	
8	0.014902	0.0119324	0	0.0074223	0.00491216	0.00137162	
9	0.0152027	0.0121655	0	0.00696959	0.00472635	0.00147635	
10	0.0159392	0.0121486	0	0.00669257	0.00442568	0.00133446	
11	0.0163986	0.0120608	0	0.00648986	0.00425676	0.00133446	
12	0.0161757	0.0119899	0	0.00669257	0.00440878	0.00127365	
13	0.0157331	0.0118682	0	0.00690203	0.00455743	0.00147973	
14	0.0145743	0.0117264	0	0.00725338	0.00525676	0.00172973	
15	0.013652	0.011473	0	0.0075473	0.00565541	0.00221284	
16	0.0122703	0.0107264	0	0.00788851	0.00630743	0.00334797	
17	0.00970439	0.00875845	0	0.00680743	0.00525619	0.00325732	
18	0.00961993	0.00913851	0	0.00694257	0.0053125	0.00277027	
19	0.0100816	0.00947354	0	0.00668074	0.00509854	0.00244932	
20	0.0110163	0.00925394	0	0.00628941	0.00478041	0.00244369	
21	0.0124437	0.0094482	0	0.00567005	0.00428773	0.00193412	
22	0.0140006	0.00915822	0	0.00497466	0.00379505	0.00185529	
23	0.0152675	0.00862894	0	0.00449887	0.00327703	0.00211149	
24	0.0176126	0.00781532	0	0.00374718	0.00256757	0.0020411	
25	0.0162697	0.00842342	0	0.00447635	0.00315878	0.00145552	
