Floor	DS1	DS2	DS3	DS4	DS5	DS6
1	0.0453913	0.00111519	0.000536278	0.000132733	3.31767e-005	8.86033e-005	
2	0.0310514	0.00672148	0.00590213	0.0016577	0.000890704	0.0010739	
3	0.0339672	0.00493342	0.00481594	0.00142399	0.000846086	0.00131068	
4	0.0330422	0.00490002	0.00509528	0.00161707	0.00101581	0.0016269	
5	0.0327047	0.00476408	0.00508257	0.00175458	0.00110539	0.00188595	
6	0.0326229	0.0046538	0.00509136	0.00176615	0.0011408	0.0020223	
7	0.0318326	0.00486138	0.00531039	0.00186555	0.00120235	0.00222507	
8	0.0266923	0.00443136	0.00465198	0.00169545	0.00109129	0.0019782	
9	0.0268586	0.00430406	0.00453682	0.00171287	0.00110732	0.0020209	
10	0.027026	0.00431709	0.00451235	0.0016441	0.00107126	0.00196971	
11	0.0272239	0.0042425	0.00448137	0.00160584	0.00105776	0.00192915	
12	0.0271382	0.00428181	0.00448746	0.0015923	0.00114851	0.00189223	
13	0.0268369	0.00430201	0.00449848	0.00166049	0.00122425	0.00201843	
14	0.0263642	0.00430984	0.00457484	0.00175355	0.00130929	0.00222881	
15	0.0259131	0.00432625	0.00461726	0.00181532	0.00137247	0.00249609	
16	0.0254369	0.00434258	0.00482561	0.00176806	0.00146879	0.00269859	
17	0.0214289	0.0033426	0.00390927	0.00142985	0.00122266	0.00245052	
18	0.0216869	0.0030927	0.00381365	0.00140928	0.00121536	0.00256593	
19	0.0218597	0.00307802	0.0036795	0.00142378	0.0012288	0.00251395	
20	0.0221021	0.00301346	0.00361324	0.0013715	0.0012005	0.00248302	
21	0.0223114	0.00311376	0.003529	0.00134098	0.00112984	0.00235881	
22	0.023602	0.00297328	0.00305984	0.00114234	0.000983906	0.00202239	
23	0.0235027	0.0029889	0.00312478	0.00116366	0.000981606	0.00202213	
24	0.0234522	0.00315297	0.00322136	0.00114347	0.000902924	0.00191087	
25	0.0230161	0.00414469	0.00342765	0.00107843	0.000659717	0.00145725	
