配构件编号：	1
Floor	DS1	DS2	DS3	DS4
1	0.99	0.01	0	0	
2	0.991	0.009	0	0	
3	0.978	0.022	0	0	
4	0.971	0.029	0	0	
5	0.966	0.033	0.001	0	
6	0.966	0.033	0.001	0	
7	0.954	0.045	0.001	0	
8	0.951	0.048	0.001	0	
9	0.938	0.06	0.002	0	
10	0.936	0.062	0.001	0.001	
11	0.939	0.059	0.001	0.001	
12	0.943	0.055	0.001	0.001	
13	0.944	0.055	0	0.001	
14	0.947	0.051	0.001	0.001	
15	0.95	0.047	0.002	0.001	
16	0.957	0.041	0.001	0.001	
17	0.968	0.03	0.001	0.001	
18	0.972	0.027	0	0.001	
19	0.977	0.022	0.001	0	
20	0.981	0.019	0	0	
21	0.981	0.019	0	0	
22	0.98	0.02	0	0	
23	0.974	0.026	0	0	
24	0.958	0.042	0	0	
25	0.944	0.055	0.001	0	


配构件编号：	2
Floor	DS1	DS2	DS3	DS4
1	0.877	0.123	0	0	
2	0.888	0.112	0	0	
3	0.896	0.104	0	0	
4	0.878	0.122	0	0	
5	0.879	0.121	0	0	
6	0.877	0.123	0	0	
7	0.869	0.131	0	0	
8	0.855	0.145	0	0	
9	0.845	0.155	0	0	
10	0.838	0.162	0	0	
11	0.843	0.157	0	0	
12	0.847	0.153	0	0	
13	0.849	0.151	0	0	
14	0.856	0.144	0	0	
15	0.865	0.135	0	0	
16	0.878	0.122	0	0	
17	0.897	0.103	0	0	
18	0.91	0.09	0	0	
19	0.924	0.076	0	0	
20	0.929	0.071	0	0	
21	0.927	0.073	0	0	
22	0.926	0.074	0	0	
23	0.904	0.096	0	0	
24	0.865	0.135	0	0	
25	0.825	0.175	0	0	


配构件编号：	3
Floor	DS1	DS2	DS3	DS4
1	0.54	0.46	0	0	
2	0.58	0.42	0	0	
3	0.612	0.388	0	0	
4	0.591	0.409	0	0	
5	0.596	0.404	0	0	
6	0.573	0.427	0	0	
7	0.563	0.437	0	0	
8	0.55	0.45	0	0	
9	0.538	0.462	0	0	
10	0.533	0.467	0	0	
11	0.528	0.472	0	0	
12	0.538	0.462	0	0	
13	0.552	0.448	0	0	
14	0.567	0.433	0	0	
15	0.589	0.411	0	0	
16	0.615	0.385	0	0	
17	0.645	0.355	0	0	
18	0.686	0.314	0	0	
19	0.733	0.267	0	0	
20	0.744	0.256	0	0	
21	0.726	0.274	0	0	
22	0.703	0.297	0	0	
23	0.64	0.36	0	0	
24	0.577	0.423	0	0	
25	0.525	0.475	0	0	


配构件编号：	4
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	1	0	0	0	
3	1	0	0	0	
4	0.998	0.002	0	0	
5	0.999	0.001	0	0	
6	0.998	0.002	0	0	
7	0.998	0.002	0	0	
8	0.997	0.003	0	0	
9	0.995	0.005	0	0	
10	0.995	0.005	0	0	
11	0.994	0.006	0	0	
12	0.996	0.004	0	0	
13	0.996	0.004	0	0	
14	0.995	0.005	0	0	
15	0.996	0.004	0	0	
16	0.996	0.004	0	0	
17	0.996	0.004	0	0	
18	0.998	0.002	0	0	
19	0.998	0.002	0	0	
20	0.998	0.002	0	0	
21	0.999	0.001	0	0	
22	0.999	0.001	0	0	
23	0.998	0.002	0	0	
24	0.998	0.002	0	0	
25	0.997	0.003	0	0	


配构件编号：	5
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	1	0	0	0	
3	1	0	0	0	
