配构件编号：	1
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	0.976	0.024	0	0	
3	0.927	0.073	0	0	
4	0.878	0.121	0.001	0	
5	0.838	0.161	0.001	0	
6	0.814	0.185	0.001	0	
7	0.793	0.205	0.002	0	
8	0.787	0.21	0.003	0	
9	0.785	0.211	0.004	0	
10	0.78	0.216	0.004	0	
11	0.763	0.233	0.004	0	
12	0.748	0.245	0.007	0	
13	0.729	0.261	0.01	0	
14	0.693	0.299	0.008	0	
15	0.669	0.324	0.007	0	
16	0.664	0.328	0.008	0	
17	0.667	0.323	0.01	0	
18	0.655	0.332	0.013	0	
19	0.667	0.321	0.012	0	
20	0.695	0.296	0.009	0	
21	0.737	0.257	0.006	0	
22	0.785	0.212	0.003	0	
23	0.836	0.162	0.002	0	
24	0.879	0.12	0.001	0	
25	0.916	0.083	0.001	0	


配构件编号：	2
Floor	DS1	DS2	DS3	DS4
1	0.997	0.003	0	0	
2	0.938	0.061	0.001	0	
3	0.874	0.125	0.001	0	
4	0.806	0.191	0.003	0	
5	0.779	0.218	0.003	0	
6	0.763	0.233	0.004	0	
7	0.737	0.259	0.004	0	
8	0.738	0.257	0.005	0	
9	0.738	0.258	0.004	0	
10	0.731	0.265	0.004	0	
11	0.719	0.273	0.008	0	
12	0.695	0.295	0.01	0	
13	0.675	0.311	0.014	0	
14	0.655	0.331	0.014	0	
15	0.636	0.349	0.015	0	
16	0.629	0.357	0.014	0	
17	0.631	0.355	0.014	0	
18	0.625	0.363	0.012	0	
19	0.635	0.355	0.01	0	
20	0.659	0.332	0.009	0	
21	0.693	0.3	0.007	0	
22	0.729	0.267	0.004	0	
23	0.778	0.219	0.003	0	
24	0.814	0.183	0.003	0	
25	0.84	0.157	0.003	0	


配构件编号：	3
Floor	DS1	DS2	DS3	DS4
1	0.865	0.135	0	0	
2	0.589	0.377	0.034	0	
3	0.444	0.482	0.074	0	
4	0.338	0.542	0.12	0	
5	0.292	0.548	0.16	0	
6	0.274	0.551	0.175	0	
7	0.249	0.549	0.202	0	
8	0.245	0.545	0.21	0	
9	0.242	0.543	0.215	0	
10	0.239	0.543	0.218	0	
11	0.233	0.527	0.24	0	
12	0.227	0.514	0.259	0	
13	0.221	0.501	0.278	0	
14	0.207	0.485	0.308	0	
15	0.193	0.478	0.329	0	
16	0.192	0.469	0.339	0	
17	0.194	0.472	0.334	0	
18	0.191	0.467	0.342	0	
19	0.199	0.476	0.325	0	
20	0.21	0.491	0.299	0	
21	0.232	0.519	0.249	0	
22	0.261	0.528	0.211	0	
23	0.281	0.551	0.168	0	
24	0.308	0.561	0.131	0	
25	0.345	0.557	0.098	0	


配构件编号：	4
Floor	DS1	DS2	DS3	DS4
1	1	0	0	0	
2	1	0	0	0	
3	1	0	0	0	
4	1	0	0	0	
5	1	0	0	0	
6	1	0	0	0	
7	1	0	0	0	
8	1	0	0	0	
9	1	0	0	0	
10	1	0	0	0	
11	1	0	0	0	
12	0.999	0.001	0	0	
13	0.999	0.001	0	0	
14	0.999	0.001	0	0	
15	0.999	0.001	0	0	
16	0.999	0.001	0	0	
17	0.999	0.001	0	0	
18	0.999	0.001	0	0	
19	1	0	0	0	
20	1	0	0	0	
21	1	0	0	0	
22	1	0	0	0	
23	1	0	0	0	
24	1	0	0	0	
25	1	0	0	0	


