ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.895	0.017	0.014	0.064	0.006	0.004	
2	0.968	0.003	0.004	0.023	0.002	0	
3	0.91	0.004	0.01	0.067	0.008	0.001	
4	0.858	0.033	0.02	0.083	0.006	0	
5	0.927	0.005	0.004	0.058	0.006	0	
6	0.957	0.001	0.009	0.032	0.001	0	
7	0.971	0.005	0.007	0.017	0	0	
8	0.95	0.009	0.005	0.033	0.003	0	
9	0.688	0.01	0.011	0.233	0.038	0.02	
10	0.772	0.01	0.01	0.175	0.026	0.007	
11	0.766	0.01	0.008	0.177	0.034	0.005	
12	0.71	0.016	0.015	0.213	0.035	0.011	
13	0.779	0.016	0.014	0.16	0.022	0.009	
14	0.812	0.011	0.012	0.148	0.015	0.002	
15	0.802	0.008	0.012	0.147	0.022	0.009	
16	0.816	0.014	0.013	0.133	0.02	0.004	
17	0.625	0.023	0.016	0.264	0.048	0.024	
18	0.702	0.016	0.019	0.208	0.041	0.014	
19	0.69	0.013	0.017	0.231	0.039	0.01	
20	0.652	0.009	0.013	0.249	0.061	0.016	
21	0.732	0.016	0.011	0.205	0.026	0.01	
22	0.744	0.014	0.012	0.191	0.032	0.007	
23	0.756	0.006	0.018	0.173	0.033	0.014	
24	0.753	0.02	0.011	0.189	0.021	0.006	
25	0.595	0.011	0.014	0.299	0.064	0.017	
26	0.661	0.014	0.016	0.257	0.039	0.013	
27	0.659	0.021	0.017	0.237	0.049	0.017	
28	0.604	0.018	0.015	0.29	0.052	0.021	
29	0.714	0.015	0.01	0.215	0.034	0.012	
30	0.708	0.013	0.013	0.207	0.046	0.013	
31	0.724	0.01	0.005	0.216	0.031	0.014	
32	0.711	0.013	0.014	0.221	0.03	0.011	
33	0.579	0.017	0.014	0.29	0.071	0.029	
34	0.64	0.017	0.009	0.275	0.051	0.008	
35	0.653	0.011	0.012	0.26	0.046	0.018	
36	0.579	0.016	0.012	0.3	0.07	0.023	
37	0.683	0.016	0.014	0.236	0.038	0.013	
38	0.694	0.016	0.011	0.223	0.045	0.011	
39	0.697	0.024	0.009	0.22	0.038	0.012	
40	0.692	0.017	0.016	0.226	0.04	0.009	
41	0.562	0.02	0.027	0.31	0.053	0.028	
42	0.619	0.021	0.02	0.282	0.047	0.011	
43	0.658	0.02	0.011	0.255	0.041	0.015	
44	0.543	0.023	0.012	0.312	0.08	0.03	
45	0.663	0.022	0.013	0.252	0.039	0.011	
46	0.655	0.018	0.019	0.256	0.034	0.018	
47	0.686	0.011	0.014	0.231	0.04	0.018	
48	0.662	0.013	0.018	0.266	0.034	0.007	
