ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.389	0.546	0.044	0.016	0.002	0.003	
2	0.375	0.568	0.04	0.013	0.001	0.003	
3	0.385	0.555	0.039	0.016	0.002	0.003	
4	0.375	0.571	0.037	0.013	0.001	0.003	
5	0.365	0.563	0.051	0.016	0.002	0.003	
6	0.353	0.566	0.054	0.021	0.003	0.003	
7	0.357	0.576	0.046	0.017	0.001	0.003	
8	0.372	0.557	0.05	0.016	0.002	0.003	
9	0.376	0.562	0.042	0.016	0.001	0.003	
10	0.387	0.559	0.039	0.011	0.001	0.003	
11	0.376	0.568	0.039	0.013	0.001	0.003	
12	0.347	0.578	0.051	0.019	0.002	0.003	
13	0.356	0.578	0.045	0.017	0.001	0.003	
14	0.364	0.569	0.044	0.019	0.001	0.003	
15	0.387	0.554	0.038	0.017	0.001	0.003	
16	0.37	0.552	0.053	0.02	0.002	0.003	
17	0.371	0.555	0.051	0.018	0.002	0.003	
18	0.138	0.628	0.124	0.073	0.024	0.013	
19	0.384	0.552	0.043	0.016	0.002	0.003	
20	0.34	0.581	0.052	0.02	0.004	0.003	
21	0.325	0.585	0.062	0.02	0.005	0.003	
22	0.314	0.596	0.062	0.02	0.005	0.003	
23	0.322	0.588	0.063	0.02	0.004	0.003	
24	0.342	0.572	0.06	0.019	0.004	0.003	
25	0.305	0.6	0.064	0.024	0.004	0.003	
26	0.277	0.605	0.073	0.03	0.01	0.005	
27	0.325	0.59	0.055	0.021	0.006	0.003	
28	0.309	0.596	0.069	0.017	0.006	0.003	
29	0.292	0.615	0.066	0.018	0.006	0.003	
30	0.313	0.593	0.067	0.018	0.006	0.003	
31	0.313	0.59	0.065	0.022	0.007	0.003	
32	0.32	0.585	0.064	0.022	0.006	0.003	
33	0.327	0.597	0.052	0.018	0.003	0.003	
34	0.336	0.589	0.05	0.019	0.003	0.003	
35	0.316	0.594	0.062	0.021	0.004	0.003	
36	0.286	0.608	0.073	0.023	0.006	0.004	
37	0.331	0.574	0.065	0.021	0.006	0.003	
38	0.158	0.636	0.113	0.063	0.019	0.011	
39	0.322	0.583	0.065	0.022	0.005	0.003	
40	0.312	0.605	0.052	0.021	0.006	0.004	
41	0.891	0.106	0.001	0.002	0	0	
42	0.824	0.172	0.002	0.002	0	0	
43	0.875	0.122	0.001	0.002	0	0	
44	0.877	0.12	0.001	0.002	0	0	
45	0.866	0.131	0.001	0.002	0	0	
46	0.776	0.216	0.006	0.002	0	0	
47	0.8	0.189	0.008	0.001	0.002	0	
48	0.859	0.137	0.001	0.002	0.001	0	
49	0.875	0.122	0	0.003	0	0	
50	0.879	0.118	0	0.003	0	0	
51	0.839	0.157	0.001	0.002	0.001	0	
52	0.883	0.114	0	0.003	0	0	
53	0.886	0.111	0.002	0.001	0	0	
54	0.883	0.114	0.001	0.002	0	0	
55	0.883	0.114	0.001	0.002	0	0	
56	0.847	0.149	0.002	0.002	0	0	
57	0.861	0.134	0.002	0.003	0	0	
58	0.893	0.104	0.001	0.002	0	0	
59	0.888	0.109	0.001	0.002	0	0	
60	0.89	0.105	0.002	0.003	0	0	
61	0.91	0.087	0.002	0.001	0	0	
62	0.863	0.134	0.001	0.002	0	0	
63	0.902	0.095	0.002	0.001	0	0	
64	0.904	0.093	0.002	0.001	0	0	
65	0.903	0.094	0.002	0.001	0	0	
66	0.8	0.193	0.005	0.002	0	0	
67	0.827	0.165	0.005	0.003	0	0	
68	0.901	0.096	0.002	0.001	0	0	
69	0.906	0.091	0.002	0.001	0	0	
70	0.905	0.092	0.002	0.001	0	0	
71	0.874	0.123	0	0.003	0	0	
72	0.917	0.08	0.002	0.001	0	0	
73	0.925	0.072	0.003	0	0	0	
74	0.914	0.083	0.003	0	0	0	
75	0.916	0.081	0.003	0	0	0	
76	0.896	0.101	0.002	0.001	0	0	
77	0.887	0.109	0.003	0.001	0	0	
78	0.912	0.085	0.003	0	0	0	
79	0.914	0.083	0.003	0	0	0	
80	0.928	0.069	0.003	0	0	0	
81	0.947	0.052	0.001	0	0	0	
82	0.898	0.099	0.003	0	0	0	
83	0.924	0.074	0.002	0	0	0	
84	0.923	0.074	0.003	0	0	0	
85	0.92	0.078	0.002	0	0	0	
86	0.841	0.155	0.003	0.001	0	0	
87	0.864	0.13	0.003	0.003	0	0	
88	0.922	0.075	0.002	0.001	0	0	
89	0.93	0.067	0.003	0	0	0	
90	0.934	0.064	0.002	0	0	0	
91	0.897	0.1	0.002	0.001	0	0	
92	0.943	0.056	0.001	0	0	0	
93	0.948	0.051	0.001	0	0	0	
94	0.937	0.062	0.001	0	0	0	
95	0.944	0.055	0.001	0	0	0	
96	0.914	0.084	0.002	0	0	0	
97	0.912	0.085	0.003	0	0	0	
98	0.943	0.056	0.001	0	0	0	
99	0.936	0.062	0.002	0	0	0	
100	0.943	0.055	0.002	0	0	0	
101	0.962	0.038	0	0	0	0	
102	0.929	0.07	0.001	0	0	0	
103	0.958	0.041	0.001	0	0	0	
104	0.958	0.041	0.001	0	0	0	
105	0.96	0.039	0.001	0	0	0	
106	0.895	0.103	0.002	0	0	0	
107	0.91	0.087	0.003	0	0	0	
108	0.954	0.045	0.001	0	0	0	
109	0.959	0.04	0.001	0	0	0	
110	0.96	0.039	0.001	0	0	0	
111	0.933	0.065	0.002	0	0	0	
112	0.967	0.033	0	0	0	0	
113	0.976	0.024	0	0	0	0	
114	0.962	0.038	0	0	0	0	
115	0.965	0.035	0	0	0	0	
116	0.943	0.056	0.001	0	0	0	
117	0.942	0.056	0.002	0	0	0	
118	0.964	0.036	0	0	0	0	
119	0.963	0.037	0	0	0	0	
120	0.965	0.035	0	0	0	0	
121	0.876	0.12	0.003	0.001	0	0	
122	0.811	0.185	0.003	0.001	0	0	
123	0.871	0.126	0.002	0.001	0	0	
124	0.874	0.123	0.003	0	0	0	
125	0.88	0.117	0.003	0	0	0	
126	0.736	0.253	0.008	0.003	0	0	
127	0.773	0.217	0.005	0.005	0	0	
128	0.877	0.119	0.004	0	0	0	
129	0.878	0.119	0.003	0	0	0	
130	0.87	0.127	0.002	0.001	0	0	
131	0.805	0.19	0.003	0.002	0	0	
132	0.879	0.118	0.003	0	0	0	
133	0.901	0.097	0.002	0	0	0	
134	0.882	0.115	0.003	0	0	0	
135	0.883	0.114	0.003	0	0	0	
136	0.839	0.158	0.002	0.001	0	0	
137	0.823	0.172	0.003	0.002	0	0	
138	0.876	0.121	0.002	0.001	0	0	
139	0.883	0.114	0.003	0	0	0	
140	0.882	0.114	0.003	0.001	0	0	
141	0.926	0.071	0.003	0	0	0	
142	0.855	0.141	0.003	0.001	0	0	
143	0.894	0.103	0.003	0	0	0	
144	0.893	0.104	0.003	0	0	0	
145	0.906	0.092	0.002	0	0	0	
146	0.714	0.268	0.012	0.004	0.002	0	
147	0.742	0.244	0.009	0.004	0.001	0	
148	0.904	0.092	0.004	0	0	0	
149	0.905	0.093	0.002	0	0	0	
150	0.904	0.093	0.003	0	0	0	
151	0.841	0.154	0.002	0.003	0	0	
152	0.926	0.072	0.002	0	0	0	
153	0.921	0.077	0.002	0	0	0	
154	0.905	0.092	0.003	0	0	0	
155	0.912	0.085	0.003	0	0	0	
156	0.868	0.129	0.003	0	0	0	
157	0.853	0.142	0.003	0.002	0	0	
158	0.906	0.091	0.003	0	0	0	
159	0.901	0.096	0.003	0	0	0	
160	0.898	0.098	0.003	0.001	0	0	
161	0.925	0.074	0.001	0	0	0	
162	0.865	0.131	0.003	0.001	0	0	
163	0.896	0.101	0.003	0	0	0	
164	0.901	0.096	0.003	0	0	0	
165	0.915	0.083	0.002	0	0	0	
166	0.773	0.217	0.008	0.002	0	0	
167	0.765	0.224	0.007	0.004	0	0	
168	0.912	0.085	0.003	0	0	0	
169	0.902	0.096	0.002	0	0	0	
170	0.895	0.102	0.003	0	0	0	
171	0.842	0.154	0.003	0.001	0	0	
172	0.925	0.073	0.002	0	0	0	
173	0.922	0.076	0.002	0	0	0	
174	0.905	0.093	0.002	0	0	0	
175	0.903	0.094	0.003	0	0	0	
176	0.863	0.134	0.002	0.001	0	0	
177	0.861	0.135	0.003	0.001	0	0	
178	0.913	0.085	0.002	0	0	0	
179	0.905	0.092	0.003	0	0	0	
180	0.912	0.085	0.002	0.001	0	0	
181	0.932	0.066	0.002	0	0	0	
182	0.855	0.141	0.003	0.001	0	0	
183	0.885	0.112	0.002	0.001	0	0	
184	0.887	0.11	0.002	0.001	0	0	
185	0.903	0.095	0.002	0	0	0	
186	0.819	0.177	0.003	0.001	0	0	
187	0.79	0.204	0.004	0.002	0	0	
188	0.9	0.097	0.002	0.001	0	0	
189	0.893	0.105	0.001	0.001	0	0	
190	0.887	0.11	0.002	0.001	0	0	
191	0.839	0.157	0.002	0.002	0	0	
192	0.913	0.085	0.001	0.001	0	0	
193	0.921	0.077	0.002	0	0	0	
194	0.899	0.099	0.001	0.001	0	0	
195	0.904	0.094	0.001	0.001	0	0	
196	0.862	0.135	0.002	0.001	0	0	
197	0.865	0.131	0.003	0.001	0	0	
198	0.918	0.08	0.002	0	0	0	
199	0.913	0.085	0.001	0.001	0	0	
200	0.918	0.079	0.002	0.001	0	0	
201	0.928	0.07	0.002	0	0	0	
202	0.851	0.145	0.003	0.001	0	0	
203	0.878	0.119	0.002	0.001	0	0	
204	0.878	0.119	0.002	0.001	0	0	
205	0.884	0.114	0.001	0.001	0	0	
206	0.849	0.148	0.002	0.001	0	0	
207	0.8	0.196	0.002	0.002	0	0	
208	0.882	0.115	0.002	0.001	0	0	
209	0.874	0.123	0.002	0.001	0	0	
210	0.869	0.128	0.002	0.001	0	0	
211	0.82	0.176	0.002	0.002	0	0	
212	0.899	0.098	0.002	0.001	0	0	
213	0.911	0.087	0.002	0	0	0	
214	0.89	0.107	0.002	0.001	0	0	
215	0.894	0.103	0.002	0.001	0	0	
216	0.853	0.144	0.001	0.002	0	0	
217	0.868	0.129	0.002	0.001	0	0	
218	0.917	0.081	0.001	0.001	0	0	
219	0.908	0.089	0.002	0.001	0	0	
220	0.917	0.08	0.003	0	0	0	
221	0.931	0.068	0.001	0	0	0	
222	0.861	0.135	0.003	0.001	0	0	
223	0.89	0.106	0.003	0.001	0	0	
224	0.884	0.112	0.003	0.001	0	0	
225	0.893	0.103	0.003	0.001	0	0	
226	0.878	0.119	0.002	0.001	0	0	
227	0.828	0.168	0.003	0.001	0	0	
228	0.889	0.107	0.003	0.001	0	0	
229	0.874	0.121	0.004	0.001	0	0	
230	0.87	0.125	0.004	0.001	0	0	
231	0.832	0.162	0.004	0.002	0	0	
232	0.904	0.092	0.003	0.001	0	0	
233	0.92	0.078	0.001	0.001	0	0	
234	0.898	0.099	0.002	0.001	0	0	
235	0.906	0.091	0.002	0.001	0	0	
236	0.861	0.134	0.003	0.002	0	0	
237	0.883	0.113	0.003	0.001	0	0	
238	0.924	0.074	0.002	0	0	0	
239	0.916	0.081	0.002	0.001	0	0	
240	0.93	0.068	0.002	0	0	0	
241	0.764	0.221	0.011	0.003	0.001	0	
242	0.64	0.332	0.019	0.006	0.002	0.001	
243	0.717	0.264	0.014	0.004	0.001	0	
244	0.728	0.255	0.012	0.004	0.001	0	
245	0.749	0.239	0.008	0.003	0.001	0	
246	0.651	0.334	0.01	0.004	0.001	0	
247	0.601	0.376	0.016	0.006	0.001	0	
248	0.726	0.257	0.012	0.004	0.001	0	
249	0.708	0.269	0.018	0.003	0.001	0.001	
250	0.692	0.282	0.019	0.005	0.001	0.001	
251	0.58	0.386	0.024	0.007	0.002	0.001	
252	0.718	0.256	0.018	0.006	0.001	0.001	
253	0.779	0.211	0.007	0.002	0.001	0	
254	0.754	0.231	0.01	0.004	0.001	0	
255	0.75	0.238	0.008	0.003	0.001	0	
256	0.658	0.315	0.019	0.005	0.002	0.001	
257	0.703	0.279	0.012	0.004	0.002	0	
258	0.778	0.212	0.006	0.003	0.001	0	
259	0.785	0.204	0.007	0.003	0.001	0	
260	0.804	0.188	0.006	0.002	0	0	
261	0.819	0.164	0.009	0.007	0.001	0	
262	0.623	0.331	0.031	0.01	0.004	0.001	
263	0.712	0.255	0.022	0.007	0.003	0.001	
264	0.704	0.263	0.024	0.006	0.002	0.001	
265	0.735	0.239	0.019	0.004	0.002	0.001	
266	0.617	0.352	0.024	0.005	0.001	0.001	
267	0.558	0.4	0.026	0.01	0.005	0.001	
268	0.708	0.266	0.018	0.005	0.002	0.001	
269	0.685	0.282	0.022	0.007	0.003	0.001	
270	0.688	0.279	0.022	0.007	0.003	0.001	
271	0.559	0.378	0.038	0.017	0.005	0.003	
272	0.794	0.181	0.016	0.006	0.002	0.001	
273	0.793	0.194	0.009	0.002	0.002	0	
274	0.754	0.222	0.016	0.005	0.002	0.001	
275	0.772	0.207	0.015	0.004	0.002	0	
276	0.682	0.284	0.023	0.007	0.003	0.001	
277	0.71	0.255	0.026	0.004	0.004	0.001	
278	0.792	0.194	0.009	0.003	0.002	0	
279	0.788	0.196	0.011	0.003	0.002	0	
280	0.827	0.161	0.009	0.002	0.001	0	
281	0.814	0.167	0.011	0.007	0.001	0	
282	0.606	0.339	0.031	0.018	0.004	0.002	
283	0.681	0.276	0.027	0.012	0.003	0.001	
284	0.691	0.269	0.027	0.009	0.003	0.001	
285	0.725	0.246	0.019	0.007	0.002	0.001	
286	0.599	0.357	0.025	0.015	0.003	0.001	
287	0.58	0.365	0.032	0.014	0.005	0.004	
288	0.687	0.277	0.023	0.009	0.003	0.001	
289	0.653	0.308	0.024	0.01	0.003	0.002	
290	0.649	0.31	0.023	0.013	0.003	0.002	
291	0.548	0.363	0.052	0.023	0.009	0.005	
292	0.763	0.209	0.018	0.007	0.002	0.001	
293	0.799	0.186	0.009	0.005	0.001	0	
294	0.749	0.223	0.019	0.006	0.002	0.001	
295	0.765	0.21	0.016	0.006	0.002	0.001	
296	0.66	0.295	0.028	0.012	0.002	0.003	
297	0.704	0.258	0.025	0.008	0.003	0.002	
298	0.787	0.197	0.009	0.005	0.002	0	
299	0.782	0.198	0.013	0.004	0.003	0	
300	0.818	0.168	0.009	0.004	0.001	0	
301	0.597	0.344	0.029	0.022	0.004	0.004	
302	0.405	0.452	0.077	0.037	0.019	0.01	
303	0.497	0.408	0.048	0.031	0.01	0.006	
