ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.642	0.254	0	0.061	0.041	0.002	
2	0.798	0.167	0	0.026	0.009	0	
3	0.524	0.274	0	0.109	0.062	0.031	
4	0.711	0.179	0	0.07	0.035	0.005	
5	0.502	0.317	0	0.111	0.062	0.008	
6	0.548	0.316	0	0.085	0.049	0.002	
7	0.609	0.257	0	0.089	0.041	0.004	
8	0.678	0.234	0	0.059	0.026	0.003	
9	0.581	0.287	0	0.081	0.044	0.007	
10	0.538	0.308	0	0.097	0.048	0.009	
11	0.751	0.193	0	0.038	0.018	0	
12	0.776	0.122	0	0.06	0.026	0.016	
13	0.323	0.316	0	0.189	0.139	0.033	
14	0.483	0.281	0	0.115	0.076	0.045	
15	0.401	0.311	0	0.174	0.095	0.019	
16	0.395	0.347	0	0.165	0.081	0.012	
17	0.485	0.269	0	0.129	0.078	0.039	
18	0.312	0.315	0	0.216	0.127	0.03	
19	0.789	0.173	0	0.026	0.012	0	
20	0.471	0.326	0	0.119	0.07	0.014	
21	0.319	0.32	0	0.202	0.127	0.032	
22	0.323	0.293	0	0.201	0.128	0.055	
23	0.478	0.326	0	0.121	0.064	0.011	
24	0.698	0.175	0	0.076	0.035	0.016	
25	0.264	0.313	0	0.226	0.16	0.037	
26	0.387	0.29	0	0.17	0.113	0.04	
27	0.354	0.311	0	0.201	0.111	0.023	
28	0.362	0.354	0	0.185	0.09	0.009	
29	0.367	0.268	0	0.19	0.125	0.05	
30	0.268	0.299	0	0.232	0.164	0.037	
31	0.77	0.184	0	0.031	0.015	0	
32	0.41	0.329	0	0.146	0.098	0.017	
33	0.267	0.3	0	0.238	0.149	0.046	
34	0.256	0.277	0	0.224	0.173	0.07	
35	0.415	0.326	0	0.153	0.09	0.016	
36	0.718	0.186	0	0.062	0.028	0.006	
37	0.238	0.3	0	0.265	0.162	0.035	
38	0.322	0.282	0	0.204	0.142	0.05	
39	0.366	0.321	0	0.193	0.098	0.022	
40	0.352	0.351	0	0.19	0.091	0.016	
41	0.332	0.275	0	0.19	0.151	0.052	
42	0.243	0.291	0	0.244	0.176	0.046	
43	0.753	0.194	0	0.038	0.015	0	
44	0.369	0.323	0	0.177	0.11	0.021	
45	0.232	0.288	0	0.25	0.175	0.055	
46	0.232	0.279	0	0.24	0.186	0.063	
47	0.379	0.325	0	0.162	0.115	0.019	
48	0.69	0.188	0	0.076	0.037	0.009	
49	0.214	0.313	0	0.269	0.169	0.035	
50	0.308	0.272	0	0.21	0.15	0.06	
51	0.374	0.335	0	0.183	0.091	0.017	
52	0.358	0.353	0	0.182	0.092	0.015	
53	0.297	0.267	0	0.212	0.159	0.065	
54	0.229	0.301	0	0.253	0.172	0.045	
55	0.758	0.191	0	0.036	0.014	0.001	
56	0.345	0.324	0	0.188	0.118	0.025	
57	0.225	0.293	0	0.247	0.179	0.056	
58	0.217	0.274	0	0.246	0.195	0.068	
59	0.354	0.328	0	0.178	0.118	0.022	
60	0.692	0.212	0	0.059	0.031	0.006	
61	0.229	0.316	0	0.265	0.159	0.031	
62	0.282	0.26	0	0.219	0.157	0.082	
63	0.399	0.329	0	0.175	0.081	0.016	
64	0.37	0.353	0	0.179	0.087	0.011	
65	0.284	0.264	0	0.216	0.167	0.069	
66	0.242	0.305	0	0.249	0.166	0.038	
67	0.727	0.195	0	0.05	0.022	0.006	
68	0.321	0.317	0	0.203	0.127	0.032	
69	0.219	0.299	0	0.244	0.18	0.058	
70	0.206	0.282	0	0.25	0.188	0.074	
71	0.342	0.331	0	0.185	0.12	0.022	
72	0.698	0.205	0	0.059	0.032	0.006	
73	0.233	0.323	0	0.263	0.152	0.029	
74	0.252	0.292	0	0.207	0.172	0.077	
75	0.447	0.334	0	0.148	0.063	0.008	
76	0.397	0.356	0	0.161	0.076	0.01	
77	0.253	0.273	0	0.213	0.188	0.073	
78	0.249	0.312	0	0.255	0.147	0.037	
79	0.736	0.174	0	0.056	0.025	0.009	
80	0.304	0.308	0	0.214	0.137	0.037	
81	0.218	0.305	0	0.24	0.18	0.057	
82	0.197	0.298	0	0.246	0.185	0.074	
83	0.329	0.334	0	0.193	0.119	0.025	
84	0.679	0.222	0	0.057	0.036	0.006	
85	0.219	0.333	0	0.269	0.15	0.029	
86	0.264	0.276	0	0.197	0.181	0.082	
87	0.488	0.338	0	0.118	0.052	0.004	
88	0.428	0.361	0	0.135	0.07	0.006	
89	0.257	0.279	0	0.21	0.187	0.067	
90	0.258	0.323	0	0.244	0.144	0.031	
91	0.718	0.173	0	0.062	0.034	0.013	
92	0.298	0.315	0	0.22	0.133	0.034	
93	0.223	0.314	0	0.237	0.172	0.054	
94	0.206	0.303	0	0.251	0.18	0.06	
95	0.313	0.333	0	0.206	0.123	0.025	
96	0.739	0.184	0	0.048	0.028	0.001	
97	0.223	0.333	0	0.266	0.158	0.02	
98	0.251	0.249	0	0.19	0.182	0.128	
99	0.56	0.338	0	0.073	0.028	0.001	
100	0.472	0.371	0	0.105	0.049	0.003	
101	0.252	0.294	0	0.198	0.183	0.073	
102	0.261	0.364	0	0.218	0.142	0.015	
103	0.733	0.163	0	0.05	0.038	0.016	
104	0.287	0.323	0	0.218	0.138	0.034	
105	0.229	0.322	0	0.241	0.153	0.055	
106	0.195	0.309	0	0.253	0.178	0.065	
107	0.291	0.358	0	0.204	0.124	0.023	
108	0.746	0.177	0	0.047	0.026	0.004	
109	0.221	0.371	0	0.247	0.148	0.013	
110	0.304	0.258	0	0.175	0.149	0.114	
111	0.636	0.293	0	0.05	0.021	0	
112	0.541	0.341	0	0.085	0.033	0	
113	0.277	0.277	0	0.217	0.15	0.079	
114	0.266	0.392	0	0.207	0.127	0.008	
115	0.708	0.17	0	0.055	0.049	0.018	
116	0.282	0.321	0	0.217	0.148	0.032	
117	0.227	0.326	0	0.242	0.156	0.049	
118	0.204	0.314	0	0.241	0.18	0.061	
119	0.286	0.369	0	0.205	0.122	0.018	
120	0.766	0.164	0	0.04	0.027	0.003	
121	0.241	0.388	0	0.228	0.132	0.011	
122	0.317	0.264	0	0.159	0.135	0.125	
123	0.696	0.262	0	0.033	0.009	0	
124	0.648	0.278	0	0.055	0.019	0	
125	0.278	0.292	0	0.208	0.145	0.077	
126	0.299	0.391	0	0.193	0.11	0.007	
127	0.695	0.161	0	0.071	0.047	0.026	
128	0.272	0.329	0	0.221	0.146	0.032	
129	0.189	0.329	0	0.255	0.182	0.045	
130	0.194	0.317	0	0.252	0.186	0.051	
131	0.279	0.378	0	0.206	0.12	0.017	
132	0.746	0.181	0	0.04	0.029	0.004	
133	0.25	0.405	0	0.224	0.112	0.009	
134	0.298	0.283	0	0.183	0.162	0.074	
135	0.724	0.241	0	0.027	0.008	0	
