ID	DS1	DS2	DS3	DS4	DS5	DS6
1	0.853	0.088	0.043	0.013	0.002	0.001	
2	0.906	0.065	0.022	0.007	0	0	
3	0.938	0.044	0.016	0.002	0	0	
4	0.98	0.013	0.006	0.001	0	0	
5	1	0	0	0	0	0	
6	0.984	0.011	0.005	0	0	0	
7	0.984	0.014	0.002	0	0	0	
8	0.984	0.014	0.002	0	0	0	
9	0.916	0.032	0.025	0.007	0.007	0.013	
10	0.831	0.058	0.058	0.024	0.004	0.025	
11	1	0	0	0	0	0	
12	0.897	0.063	0.032	0.006	0.001	0.001	
13	0.999	0.001	0	0	0	0	
14	0.957	0.025	0.015	0.003	0	0	
15	0.976	0.018	0.006	0	0	0	
16	0.976	0.018	0.006	0	0	0	
17	0.992	0.007	0.001	0	0	0	
18	0.98	0.018	0.002	0	0	0	
19	0.983	0.014	0.003	0	0	0	
20	0.979	0.018	0.003	0	0	0	
21	0.996	0.004	0	0	0	0	
22	0.996	0.004	0	0	0	0	
23	0.924	0.049	0.025	0.002	0	0	
24	0.907	0.061	0.031	0.001	0	0	
25	0.93	0.023	0.022	0.011	0.004	0.01	
26	0.93	0.023	0.022	0.011	0.004	0.01	
27	0.95	0.033	0.017	0	0	0	
28	0.952	0.033	0.015	0	0	0	
29	0.996	0.004	0	0	0	0	
30	0.996	0.004	0	0	0	0	
31	0.989	0.009	0.002	0	0	0	
32	0.935	0.047	0.017	0.001	0	0	
33	0.982	0.011	0.006	0.001	0	0	
34	0.928	0.054	0.016	0.002	0	0	
35	1	0	0	0	0	0	
36	0.984	0.015	0.001	0	0	0	
37	1	0	0	0	0	0	
38	1	0	0	0	0	0	
39	0.984	0.013	0.003	0	0	0	
40	0.984	0.013	0.003	0	0	0	
41	0.989	0.011	0	0	0	0	
42	0.998	0.002	0	0	0	0	
43	0.986	0.012	0	0.002	0	0	
44	0.986	0.012	0	0.002	0	0	
45	0.993	0.005	0.002	0	0	0	
46	0.993	0.005	0.002	0	0	0	
47	0.921	0.039	0.02	0.009	0.004	0.007	
48	0.922	0.047	0.027	0.003	0.001	0	
49	0.686	0.139	0.125	0.025	0.013	0.012	
50	0.717	0.125	0.11	0.022	0.013	0.013	
51	0.551	0.176	0.179	0.047	0.019	0.028	
52	0.385	0.2	0.234	0.08	0.046	0.055	
53	0.435	0.239	0.212	0.059	0.024	0.031	
54	0.245	0.195	0.291	0.107	0.08	0.082	
55	0.726	0.117	0.094	0.028	0.017	0.018	
56	0.634	0.155	0.145	0.029	0.015	0.022	
57	0.869	0.075	0.044	0.009	0.002	0.001	
58	0.322	0.2	0.247	0.077	0.071	0.083	
59	0.25	0.184	0.271	0.093	0.083	0.119	
60	0.721	0.135	0.103	0.017	0.01	0.014	
61	0.884	0.077	0.031	0.008	0	0	
62	0.651	0.146	0.137	0.03	0.017	0.019	
63	0.69	0.128	0.126	0.028	0.013	0.015	
64	0.798	0.122	0.06	0.012	0.005	0.003	
65	0.773	0.13	0.065	0.022	0.005	0.005	
66	0.623	0.169	0.148	0.028	0.017	0.015	
67	0.22	0.176	0.293	0.105	0.095	0.111	
68	0.65	0.136	0.145	0.037	0.015	0.017	
69	0.836	0.11	0.045	0.008	0	0.001	
70	0.282	0.185	0.274	0.073	0.091	0.095	
71	0.504	0.197	0.161	0.073	0.02	0.045	
72	0.736	0.124	0.099	0.02	0.01	0.011	
73	0.919	0.054	0.021	0.005	0.001	0	
74	0.674	0.177	0.115	0.025	0.004	0.005	
75	0.486	0.181	0.187	0.063	0.034	0.049	
76	0.85	0.09	0.045	0.009	0.005	0.001	
77	0.847	0.09	0.053	0.008	0.002	0	
78	0.589	0.176	0.133	0.048	0.024	0.03	
79	0.897	0.06	0.037	0.005	0.001	0	
80	0.483	0.191	0.19	0.067	0.026	0.043	
81	0.833	0.085	0.053	0.016	0.005	0.008	
82	0.759	0.128	0.081	0.019	0.006	0.007	
83	0.531	0.196	0.183	0.045	0.025	0.02	
84	0.866	0.085	0.041	0.006	0.001	0.001	
85	0.859	0.093	0.043	0.005	0	0	
86	0.725	0.128	0.105	0.03	0.005	0.007	
87	0.665	0.172	0.112	0.033	0.009	0.009	
88	0.638	0.177	0.125	0.039	0.011	0.01	
89	0.74	0.141	0.089	0.016	0.008	0.006	
90	0.484	0.176	0.19	0.061	0.04	0.049	
91	0.519	0.159	0.165	0.062	0.038	0.057	
92	0.619	0.173	0.122	0.047	0.015	0.024	
93	0.747	0.142	0.084	0.018	0.004	0.005	
94	0.556	0.201	0.163	0.044	0.019	0.017	
95	0.747	0.122	0.089	0.03	0.005	0.007	
96	0.478	0.206	0.201	0.061	0.026	0.028	
97	0.97	0.025	0.005	0	0	0	
98	0.926	0.039	0.025	0.006	0	0.004	
99	0.468	0.211	0.208	0.058	0.024	0.031	
100	0.215	0.17	0.258	0.1	0.093	0.164	
101	0.299	0.179	0.264	0.085	0.075	0.098	
102	0.667	0.203	0.104	0.015	0.006	0.005	
103	0.944	0.031	0.021	0	0.002	0.002	
104	0.713	0.111	0.102	0.023	0.02	0.031	
105	0.856	0.068	0.053	0.012	0.003	0.008	
106	0.838	0.066	0.067	0.012	0.009	0.008	
107	0.518	0.201	0.185	0.056	0.015	0.025	
108	0.196	0.156	0.271	0.102	0.095	0.18	
109	0.286	0.19	0.247	0.094	0.074	0.109	
110	0.559	0.225	0.162	0.031	0.011	0.012	
111	0.943	0.027	0.025	0.004	0	0.001	
112	0.981	0.016	0.003	0	0	0	
113	0.916	0.052	0.026	0.005	0	0.001	
114	0.555	0.192	0.178	0.04	0.013	0.022	
115	0.51	0.221	0.186	0.049	0.013	0.021	
116	0.737	0.128	0.088	0.025	0.008	0.014	
117	0.947	0.044	0.009	0	0	0	
118	0.672	0.166	0.122	0.022	0.01	0.008	
119	0.387	0.204	0.229	0.084	0.044	0.052	
120	0.653	0.136	0.134	0.028	0.019	0.03	
121	0.825	0.081	0.065	0.016	0.004	0.009	
122	0.536	0.175	0.173	0.054	0.026	0.036	
